item,Description,size decimal,cost,chop,join,group
DISSG58,CFC Distressed - Sage 5/8,0.625,14.00,14.00,14.00,Wood
DISTL114,CFC Distressed - Teal 1 1/4,1.25,15.00,15.00,15.00,Wood
DISTL58,CFC Distressed - Teal 5/8,0.625,14.00,14.00,14.00,Wood
DISTURQ114,CFC Distressed - Turquoise 1 1/4,1.25,15.00,15.00,15.00,Wood
DISTURQ58,CFC Distressed - Turquoise 5/8,0.625,14.00,14.00,14.00,Wood
DISWHT114,CFC Distressed - White 1 1/4,1.25,15.00,15.00,15.00,Wood
DISWHT58,CFC Distressed - White 5/8,0.625,14.00,14.00,14.00,Wood
DISWW2CUST,"Distressed Wider Width Custom 2""",2,18.50,18.50,18.50,Wood
DISWW3CUST,"Distressed Wider Width Custom 3""",3,20.00,20.00,20.00,Wood
DISWW4CUST,"Distressed Wider Width Custom 4""",4,22.00,22.00,22.00,Wood
DISWW5CUST,"Distressed Wider Width Custom 5""",5,24.00,24.00,24.00,Wood
DISY58,CFC Distressed - Yellow 5/8,0.625,14.00,14.00,14.00,Wood
DISYEL114,CFC Distressed - Yellow  1 1/4,1.25,15.00,15.00,15.00,Wood
DKGRRD114,CFC Brights - Dark Green Over Red 1 1/4,1.25,15.00,15.00,15.00,Wood
DKGRRD58,CFC Brights - Dark Green Over Red 5/8,0.625,14.00,14.00,14.00,Wood
DWGRY114,CFC Driftwood - Gray 1 1/4,1.25,15.00,15.00,15.00,Wood
DWGRY2,CFC Drfitwood - Gray 2 inches,2,17.50,17.50,17.50,Wood
DWGRY3,CFC Drfitwood - Gray 3 inches,3,19.00,19.00,19.00,Wood
DWGRY58,CFC Driftwood - Gray 5/8,0.625,14.00,14.00,14.00,Wood
FBKGRY,Fillet Black over Gray 1/4”,0.25,8.50,8.50,8.50,Fillet
FBKWT,Fillet Black over White 1/4”,0.25,8.50,8.50,8.50,Fillet
FDISBK,Fillet Distressed Black 1/4”,0.25,8.50,8.50,8.50,Fillet
FDISBL,Fillet Distressed Blue 1/4”,0.25,8.50,8.50,8.50,Fillet
FDISGRN,Fillet Distressed Green 1/4”,0.25,8.50,8.50,8.50,Fillet
FDISGRY,Fillet Distressed Gray 1/4”,0.25,8.50,8.50,8.50,Fillet
FDISNAT,Fillet Distressed Natural 1/4” ,0.25,8.50,8.50,8.50,Fillet
FDISOR,Fillet Distressed Orange 1/4”,0.25,8.50,8.50,8.50,Fillet
FDISPRP,Fillet Distressed Purple 1/4”,0.25,8.50,8.50,8.50,Fillet
FDISRD,Fillet Distressed Red 1/4”,0.25,8.50,8.50,8.50,Fillet
FDISWT,Fillet Distressed White 1/4”,0.25,8.50,8.50,8.50,Fillet
FDKGRRD,Fillet Dark Green over Red 1/4”,0.25,8.50,8.50,8.50,Fillet
FGROR,Fillet Green Over Orange 1/4”,0.25,8.50,8.50,8.50,Fillet
FGRPRP,Fillet Green over Purple 1/4”,0.25,8.50,8.50,8.50,Fillet
FGRYBK,Fillet Gray overt Black 1/4”,0.25,8.50,8.50,8.50,Fillet
FGRYRD,Fillet Gray over Red 1/4”,0.25,8.50,8.50,8.50,Fillet
FGRYWT,Fillet Gray over White 1/4”,0.25,8.50,8.50,8.50,Fillet
FLBKGRY1,Floater Black/Gray 1”,0.375,19.00,19.00,19.00,Wood
FLBKGRY2,Floater Black/Gray 2”,0.375,21.00,21.00,21.00,Wood
FLBKWHT1,Floater Black/White 1”,0.375,19.00,19.00,19.00,Wood
FLBKWHT2,Floater Black/White 2”,0.375,21.00,21.00,21.00,Wood
FLDIDBKSIL1,Floater Distressed Black/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDIDBKSIL2,Floater Distressed Black/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISBK1,Floater Distressed Black 1”,0.375,19.00,19.00,19.00,Wood
FLDISBK2,Floater Distressed Black 2”,0.375,21.00,21.00,21.00,Wood
FLDISBKGLD1,Floater Distressed Black/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISBKGLD2,Floater Distressed Black/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISBL1,Floater Distressed Blue 1”,0.375,19.00,19.00,19.00,Wood
FLDISBL2,Floater Distressed Blue 2”,0.375,21.00,21.00,21.00,Wood
FLDISBLGLD1,Floater Distressed Blue/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISBLGLD2,Floater Distressed Blue/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISBLSIL1,Floater Distressed Blue/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDISBLSIL2,Floater Distressed Blue/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISGRN1,Floater Distressed Green 1”,0.375,19.00,19.00,19.00,Wood
FLDISGRN2,Floater Distressed Green 2”,0.375,21.00,21.00,21.00,Wood
FLDISGRNGLD1,Floater Distressed Green/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISGRNGLD2,Floater Distressed Green/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISGRNSIL1,Floater Distressed Green/Silver1”,0.375,24.00,24.00,24.00,Wood
FLDISGRNSIL2,Floater Distressed Green/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISLAV1,Floater Distressed Lavender 1”,0.375,19.00,19.00,19.00,Wood
FLDISLAV2,Floater Distressed Lavender 2”,0.375,21.00,21.00,21.00,Wood
FLDISLAVGLD1,Floater Distressed Lavender/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISLAVGLD2,Floater Distressed Lavender/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISLAVSIL1,Floater Distressed Lavender/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDISLAVSIL2,Floater Distressed Lavender/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISNAT1,Floater Distressed Natural 1”,0.375,19.00,19.00,19.00,Wood
FLDISNAT2,Floater Distressed Natural 2”,0.375,21.00,21.00,21.00,Wood
FLDISNATGLD1,Floater Distressed Natural/Gold 1”,0.375,24.00,24.00,24.00,Wood
