ITEM,description,WIDTH,UPC,cost,chop,join,group
553450,"BAUHAUS II BLACK WD FLAT 2""",2,,9.19,15.44,16.44,Wood
557591,MARAIS GOLD TRADITIONAL,2,720472146807,15.92,26.74,27.74,Wood
557592,MARAIS SILVER TRADITIONAL,2,720472146814,15.92,26.74,27.74,Wood
557593,"MARAIS II 2"" TRADITIONAL",2,720472156691,15.33,25.76,26.76,Wood
558186,"DISC-L7 BLACK SILVER 1""",1,,21.75,36.54,37.54,Wood
563705,"LINEA GRAPHITE FLAT 1 3/4""",1.75,,9.28,15.59,16.59,Wood
564100,"HAVANA FLAT TOFFEE 1 3/16""",1.125,,7.52,12.64,13.64,Wood
564200,"HAVANA FLAT COCOA 1 3/16""",1.125,,7.52,12.64,13.64,Wood
565403,"WHITMAN BRUSHED BLACK 2 3/8""",2.375,,11.46,19.26,20.26,Wood
565405,"WHITMAN ANTQ TORTOISE 2 3/8""",2.375,,11.46,19.26,20.26,Wood
567100,"HAVANA CAP TOFFEE 1 1/4""",1.25,,9.94,16.71,17.71,Wood
567200,"HAVANA CAP COCOA 1 1/4""",1.25,,9.94,16.71,17.71,Wood
569240,LANCASTER COVERED BRIDGE GREY,2.6875,720472173391,14.03,23.56,24.56,Wood
569260,LANCASTER AMISH BLACK,2.6875,720472173414,14.03,23.56,24.56,Wood
571550,INTERMEZZO UMBER SLOPE W/BLK,2.5,,21.27,35.74,36.74,Wood
571560,INTERMEZZO MOHAGANY SLOPE W/BL,2.5,,21.27,35.74,36.74,Wood
571570,INTERMEZZO SABLE SLOPE W/BLK,2.5,,21.27,35.74,36.74,Wood
572620,"ANVIL II FLAT 2 11/16""AGED STL",2.5,,18.32,30.77,31.77,Wood
573235,ACADEMIE GOLD,2.0625,720472139328,13.11,22.03,23.03,Wood
573237,ACADEMIE SILVER,2.0625,720472139335,13.11,22.03,23.03,Wood
573239,ACADEMIE BLACK W/GOLD,2.0625,720472139342,13.11,22.03,23.03,Wood
573250,"ANDOVER LG DOME BLACK 2 11/16""",2.6875,,11.58,19.46,20.46,Wood
573260,"ANDOVER LG DOME WHITE 2 11/16""",2.6875,,11.58,19.46,20.46,Wood
573270,"ANDOVER LG DOME SIL 2 11/16""",2.6875,,11.58,19.46,20.46,Wood
573280,"ANDOVER LG DOME GOLD 2 11/16""",2.6875,,11.58,19.46,20.46,Wood
573290,"ANDOVER LG DOME SUEDE 2 11/16""",2.6875,,11.58,19.46,20.46,Wood
574150,SPENCER GOLD SHORT FLOAT,2.125,,8.22,13.81,14.81,Wood
574151,SPENCER SIL/BRN SHORT FLOAT,2.125,,8.22,13.81,14.81,Wood
574152,SPENCER SIL/BLK SHORT FLOAT,2.125,,8.22,13.81,14.81,Wood
574153,"SPENCER II SLVR FLOAT 2 1/8""",2.125,,10.88,18.28,19.28,Wood
574154,"SPENCER II GOLD FLOAT 2 1/8""",2.125,,10.88,18.28,19.28,Wood
575252,FERROSA PEWTER,2.1875,720472138963,17.62,29.61,30.61,Wood
575254,FERROSA IRON,2.1875,720472138970,18.58,31.22,32.22,Wood
575556,FERROSA 2 BRONZE,2.1875,720472146593,18.03,30.29,31.29,Wood
576100,"HAVANA FLAT TOFFEE 2""",1.9375,,9.94,16.71,17.71,Wood
576200,"HAVANA FLAT COCOA 2""",1.9375,,9.94,16.71,17.71,Wood
577100,"H4 FLOAT SILVER 1 5/8""",1.625,,22.58,37.94,38.94,Wood
