ITEM,description,WIDTH,cost,group
B8276,PALOMA ALPHA 32X40,32x40,35.32,Matboard
B8277,PAGODA ALPHA 32X40,32x40,35.32,Matboard
B8278,BIJOU ALPHA 32X40,32x40,35.32,Matboard
B8301,IVORY BLACK (CC) ALPHA 32X40,32x40,45.5,Matboard
B8301L,IVORY BLK (CC) ALPHA 40X60,40x60,91.51,Matboard
B8304,FLINT (CC) ALPHA 32X40,32x40,45.5,Matboard
B8305,FEATHRSTONE(CC)ALPH 32X40,32x40,45.5,Matboard
B8306,MATTE WHITE (CC) ALPHA 32X40,32x40,45.53,Matboard
B8307,FROST (CC) ALPHA 32X40,32x40,45.51,Matboard
B8308,SEA MIST (CC) ALPHA 32X40,32x40,45.5,Matboard
B8313,SNOWFLAKE (CC) ALPHA 32X40,32x40,45.5,Matboard
B8314,TALC (CC) ALPHA 32X40,32x40,45.54,Matboard
B8315,FAIRFLD WHITE (CC)ALPHA 32X40,32x40,45.5,Matboard
B8317,STEEL GREY (CC)ALPHA 32X40,32x40,45.5,Matboard
B8318,MALACCA (CC)ALPHA 32X40,32x40,45.5,Matboard
B8319,TEAL GREY (CC)ALPHA 32X40,32x40,45.5,Matboard
B8320,TAUPE (CC)ALPHA 32X40,32x40,45.5,Matboard
B8321,BRUSH ONYX (CC) ALPHA 32X40,32x40,56.14,Matboard
B8321L,BR'D ONYX ALPH(CC)MTL40X60,40x60,84.48,Matboard
B8409,AMBER ALPHA 32X40,32x40,35.32,Matboard
B8412,GREEN OLIVE ALPHA 32X40,32x40,32.72,Matboard
B8417,VENETIAN BLUE ALPHA 32X40,32x40,35.32,Matboard
B8418,CHARLESTON GRN ALPHA 32X40,32x40,28.92,Matboard
B8420,SOFTLY PINK ALPHA 32X40,32x40,35.31,Matboard
B8425,SEA GREEN ALPHA 32X40,32x40,35.32,Matboard
B8426,PARAKEET ALPHA 32X40,32x40,35.32,Matboard
B8428,PAPAYA ALPHA 32X40,32x40,35.37,Matboard
B8431,ANTIQUE ARTCARE 32X40,32x40,35.32,Matboard
B8432,ANGORA ARTCARE 32X40,32x40,35.32,Matboard
B8433,JET ARTCARE 32X40,32x40,34.97,Matboard
B8434,COAL ARTCARE 32X40,32x40,34.9,Matboard
B8435,CHROME ARTCARE 32X40,32x40,35.32,Matboard
B8437,CLOVER ARTCARE 32X40,32x40,35.32,Matboard
B8438,CHALK ARTCARE 32X40,32x40,35.1,Matboard
B8440,AUBERGINE ALPHA 32X40,32x40,35.32,Matboard
B8441,CHAPS ALPHA 32X40,32x40,31.21,Matboard
B8442,KONA ALPHA 32X40,32x40,35.32,Matboard
B8443,TEAK ALPHA 32X40,32x40,35.32,Matboard
B8444,PECAN ALPHA 32X40,32x40,35.32,Matboard
B8445,FIDDLEHEAD ALPHA 32X40,32x40,35.32,Matboard
B8445L,FIDDLEHEAD ALPHA 40X60,40x60,86.13,Matboard
B8447,BLACK SPRUCE ALPHA 32X40,32x40,35.32,Matboard
B8448,JALAPENO ALPHA 32X40,32x40,35.32,Matboard
