item,cost,chop,join,width,description,group
NC18702,7.22,12.64,15.16,1.5,Ironworks Silver,Wood
NC18703,7.22,12.64,15.16,1.5,Ironworks Pewter,Wood
NC18704,7.22,12.64,15.16,1.5,Ironworks Black,Wood
NC18715,7.22,12.64,15.16,1.5,Ironworks Champagne,Wood
NC18762,7.22,12.64,15.16,1.5,Ironworks Bronze,Wood
NC18802,7.34,12.85,15.42,2.16,Ironworks Silver Slant,Wood
NC18803,7.34,12.85,15.42,2.16,Ironworks Pewter Slant,Wood
NC18804,7.34,12.85,15.42,2.16,Ironworks Black Slant,Wood
NC18815,7.34,12.85,15.42,2.16,Ironworks Champagne Slant,Wood
NC18862,7.34,12.85,15.42,2.16,Ironworks Bronze Slant,Wood
NC19104,3.87,6.77,8.12,0.75,Nantucket Black,Wood
NC19123,3.87,6.77,8.12,0.75,Nantucket Dover Grey,Wood
NC19127,3.87,6.77,8.12,0.75,Nantucket Taupe,Wood
NC19131,3.87,6.77,8.12,0.75,Nantucket Driftwood,Wood
NC19192,3.87,6.77,8.12,0.75,Nantucket Blue Grey,Wood
NC19304,5.1,8.92,10.71,1.75,Nantucket Black,Wood
NC19323,5.1,8.92,10.71,1.75,Nantucket Dover Grey,Wood
NC19327,5.1,8.92,10.71,1.75,Nantucket Taupe,Wood
NC19331,5.1,8.92,10.71,1.75,Nantucket Driftwood,Wood
NC19392,5.1,8.92,10.71,1.75,Nantucket Blue Grey,Wood
NC27215,4.09,7.16,8.59,1.19,Forged Metals Champagne,Wood
NC27262,4.09,7.16,8.59,1.19,Forged Metals Bronze,Wood
NC27404,4.15,7.26,8.72,1.75,Forged Metals Black,Wood
NC27415,4.15,7.26,8.72,1.75,Forged Metals Champagne,Wood
NC27436,4.15,7.26,8.72,1.75,Forged Metals Mercury,Wood
NC27462,4.15,7.26,8.72,1.75,Forged Metals Bronze,Wood
NC29105,1.52,2.66,3.19,0.63,Woodworks Walnut,Wood
NC29113,1.52,2.66,3.19,0.63,Woodworks Grey Wash,Wood
NC29114,1.52,2.66,3.19,0.63,Woodworks Black Ash,Wood
NC29116,1.52,2.66,3.19,0.63,Woodworks White Wash,Wood
NC29129NP,1.52,2.66,3.19,0.63,Woodworks Cedar,Wood
NC29175,1.52,2.66,3.19,0.63,Woodworks Hazelnut,Wood
NC29205,2.42,4.24,5.1,0.75,Woodworks Walnut,Wood
NC29213,2.42,4.24,5.1,0.75,Woodworks Grey Wash,Wood
NC29214,2.42,4.24,5.1,0.75,Woodworks Black Ash,Wood
NC29216,2.42,4.24,5.1,0.75,Woodworks White Wash,Wood
NC29229,2.42,4.24,5.1,0.75,Woodworks Cedar,Wood
NC29275,2.42,4.24,5.1,0.75,Woodworks Hazelnut,Wood
NC29405,2.61,4.57,5.48,1.5,Woodworks Walnut,Wood
NC29413,2.61,4.57,5.48,1.5,Woodworks Grey Wash,Wood
NC29414,2.61,4.57,5.48,1.5,Woodworks Black Ash,Wood
NC29416,2.61,4.57,5.48,1.5,Woodworks White Wash,Wood
NC29429,2.61,4.57,5.48,1.5,Woodworks Cedar,Wood
NC29475,2.61,4.57,5.48,1.5,Woodworks Hazelnut,Wood
NC29505NP,3.54,6.19,7.43,1.69,Woodworks Walnut,Wood
NC29513,3.54,6.19,7.43,1.69,Woodworks Grey Wash,Wood
NC29514,3.54,6.19,7.43,1.69,Woodworks Black Ash,Wood
NC29516NP,3.54,6.19,7.43,1.69,Woodworks White Wash,Wood
NC29529,3.54,6.19,7.43,1.69,Woodworks Cedar,Wood
NC29575,3.54,6.19,7.43,1.69,Woodworks Hazelnut,Wood
NC30314,7.24,12.67,15.2,1.38,Madera Zebrawood Veneer,Wood
NC30324,7.24,12.67,15.2,1.38,Madera Ebony Veneer,Wood
NC31504,5.27,9.22,11.07,1.19,Restorations Matte Black,Wood
NC31549,5.27,9.22,11.07,1.19,Restorations Hazelnut,Wood
NC31604,6.48,11.34,13.6,1.91,Restorations Matte Black,Wood
NC31649,6.48,11.34,13.6,1.91,Restorations Hazelnut,Wood
NC34604,8.25,14.44,17.33,2,Bristol Floater Black,Wood
NC34607,8.25,14.44,17.33,2,Bristol Floater Antique White,Wood
NC34609,9.1,15.92,19.1,2,Bristol Floater Walnut,Wood
NC34630,8.25,14.44,17.33,2,Bristol Floater Natural,Wood
NC38109,4.2,7.35,8.82,0.75,Nocturne Espresso Brown,Wood
NC38309,3.01,5.26,6.31,0.63,Nocturne Espresso Brown,Wood
NC38409,3.62,6.33,7.6,1,Nocturne Espresso Brown,Wood
NC38509,4.34,7.59,9.11,1.38,Nocturne Espresso Brown,Wood
NC40304,4.24,7.43,8.91,0.75,Ardesia Cast Iron,Wood
NC40362,5.52,9.66,11.6,0.75,Ardesia Oiled Bronze,Wood
NC40562,8.86,15.51,18.61,1.5,Ardesia Oiled Bronze,Wood
NC40704,8.84,15.48,18.57,2.25,Ardesia Cast Iron,Wood
NC40762,11.02,19.29,23.15,2.25,Ardesia Oiled Bronze,Wood
NC42331,6.2,10.85,13.02,0.63,American Hardwoods Natural Maple,Wood
NC42332,5.45,9.54,11.44,0.63,American Hardwoods White Wash Maple,Wood
NC42414,5.74,10.05,12.05,0.75,American Hardwoods Black Ash,Wood
NC42431,6.79,11.89,14.27,0.75,American Hardwoods Natural Maple,Wood
NC42432,7.34,12.85,15.42,0.75,American Hardwoods White Wash Maple,Wood
NC42631,10.49,18.37,22.04,0.75,American Hardwoods Nat Maple,Wood
NC44041,6.85,11.99,14.39,0.75,Palladio Carved Black/Gold Leaf,Wood
NC44042,6.85,11.99,14.39,0.75,Palladio Carved Black/Silver Leaf,Wood
NC44043,4.95,8.66,10.4,0.75,Palladio Carved Black/Brown,Wood
NC44141,8.07,14.12,16.95,1.19,Palladio Carved Black/Gold Leaf,Wood
NC44142,8.07,14.12,16.95,1.19,Palladio Carved Black/Silver Leaf,Wood
NC44143,7.12,12.47,14.97,1.19,Palladio Carved Black/Brown,Wood
NC44541,11.93,20.87,25.04,2.38,Palladio Carved Black/Gold Leaf,Wood
NC44542,11.93,20.87,25.04,2.38,Palladio Carved Black/Silver Leaf,Wood
NC44543,11.14,19.49,23.39,2.38,Palladio Carved Black/Brown,Wood
NC45204,3.75,6.57,7.88,0.75,Provence Charred Black,Wood
NC45207,3.75,6.57,7.88,0.75,Provence Cottage White,Wood
NC45209,3.75,6.57,7.88,0.75,Provence Weathered Brown,Wood
NC45304,3.49,6.12,7.34,1.13,Provence Charred Black,Wood
NC45307,3.49,6.12,7.34,1.13,Provence Cottage White,Wood
NC45309,3.49,6.12,7.34,1.13,Provence Weathered Brown,Wood
NC45404,5.98,10.46,12.55,1.25,Provence Charred Black,Wood
NC45407,5.98,10.46,12.55,1.25,Provence Cottage White,Wood
NC45604,6.61,11.58,13.89,1.88,Provence Charred Black,Wood
NC45607,6.61,11.58,13.89,1.88,Provence Cottage White,Wood
NC45609,6.61,11.58,13.89,1.88,Provence Weathered Brown,Wood
NC46101,4.18,7.32,8.79,0.63,Minis Antique Gold Leaf,Wood
NC46102,4.18,7.32,8.79,0.63,Minis Antique Silver Leaf,Wood
NC46104,3.22,5.65,6.78,0.63,Minis Antique Black,Wood
NC46111,3.55,6.21,7.45,0.63,Minis Black & Gold Leaf,Wood
NC46112,3.55,6.21,7.45,0.63,Minis Black & Silver Leaf,Wood
NC46116,3.66,6.41,7.69,0.63,Minis Copper,Wood
NC46198,3.66,6.41,7.69,0.63,Minis Black Verdigris,Wood
NC46205,4.5,7.88,9.46,0.63,Minis Oxidized Copper,Wood
NC46207,4.5,7.88,9.46,0.63,Minis Oxidized Gold,Wood
NC46209,4.5,7.88,9.46,0.63,Minis Oxidized Silver,Wood
NC46242,3.93,6.88,8.26,0.63,Minis Oxidized Black,Wood
NC46307,4.76,8.34,10,0.63,Minis Oxidized Gold,Wood
NC46309,4.76,8.34,10,0.63,Minis Oxidized Silver,Wood
NC46342,4.1,7.18,8.61,0.63,Minis Oxidized Black,Wood
NC46501,3.53,6.17,7.4,0.56,Minis Antique Gold,Wood
NC46502,3.53,6.17,7.4,0.56,Minis Antique Silver,Wood
NC46504,3.12,5.46,6.55,0.56,Minis Antique Black,Wood
NC46601,3.69,6.46,7.75,0.75,Minis Antique Gold Leaf,Wood
NC46671,3.69,6.46,7.75,0.75,Minis Brown & Gold Leaf,Wood
NC58404,3.59,6.28,7.54,1.75,Oslo Black,Wood
NC58409,3.83,6.7,8.04,1.75,Oslo Dark Walnut,Wood
NC58435,3.59,6.28,7.54,1.75,Oslo Oak,Wood
NC58485,3.83,6.7,8.04,1.75,Oslo Rosewood,Wood
NC59704,6.23,10.9,13.08,3,Oslo Black,Wood
NC61903,7.17,12.54,15.05,1.75,Palladio Cocoa Brown,Wood
NC61941,8.84,15.48,18.57,1.75,Palladio Gold Leaf,Wood
NC61942,8.84,15.48,18.57,1.75,Palladio Silver Leaf,Wood
NC61943,6.82,11.94,14.33,1.75,Palladio Black/Brown,Wood
NC62104,4.19,7.33,8.8,0.75,Palladio Antique Black,Wood
NC62304,3.01,5.26,6.31,0.63,Palladio Antique Black,Wood
NC62404,3.61,6.31,7.57,1,Palladio Antique Black,Wood
NC62504,4.35,7.61,9.13,1.38,Palladio Antique Black,Wood
NC62603,6.42,11.23,13.48,1.19,Palladio Cocoa Brown,Wood
NC62641,6.79,11.89,14.27,1.19,Palladio Black/Gold,Wood
NC62642,6.79,11.89,14.27,1.19,Palladio Black/Silver,Wood
NC62643,6.42,11.23,13.48,1.19,Palladio Black/Brown,Wood
NC62703,7.22,12.64,15.16,1.38,Palladio Cocoa Brown,Wood
NC62741,7.6,13.3,15.96,1.38,Palladio Black/Gold,Wood
NC62742,7.6,13.3,15.96,1.38,Palladio Black/Silver,Wood
NC62743,7.24,12.67,15.2,1.38,Palladio Black/Brown,Wood
NC62803,11.28,19.75,23.7,2.5,Palladio Cocoa Brown,Wood
NC62841,11.72,20.51,24.61,2.5,Palladio Black/Gold,Wood
NC62842,11.72,20.51,24.61,2.5,Palladio Black/Silver,Wood
NC62843,10.47,18.32,21.99,2.5,Palladio Black/Brown,Wood
NC62903,11.27,19.73,23.67,2.5,Palladio Cocoa Brown,Wood
NC62943,11.3,19.78,23.73,2.5,Palladio Black/Brown,Wood
NC65041,14.49,25.36,30.43,2.88,Palladio Black/Gold,Wood
NC65043,11,19.26,23.11,2.88,Palladio Black/Brown,Wood
NC65103,7.22,12.64,15.16,1.75,Palladio Cocoa Brown,Wood
NC65141,10.13,17.73,21.28,1.75,Palladio Black/Gold,Wood
NC65142,10.16,17.78,21.34,1.75,Palladio Black/Silver,Wood
NC65143,7.22,12.64,15.16,1.75,Palladio Black/Brown,Wood
NC65201,8.54,14.94,17.93,1,Treviso Sterling Silver,Wood
NC65202,8.54,14.94,17.93,1,Treviso Gold,Wood
NC65204,6.04,10.58,12.69,1,Treviso Midnight Black,Wood
NC65206,8.54,14.94,17.93,1,Treviso Aged Brass,Wood
NC65207,8.54,14.94,17.93,1,Treviso Pewter,Wood
NC65214,8.54,14.94,17.93,1,Treviso Matte Black,Wood
NC65243,8.54,14.94,17.93,1,Treviso Ebony,Wood
NC65301,12.91,22.59,27.1,1.75,Treviso Sterling Silver,Wood
NC65302,12.91,22.59,27.1,1.75,Treviso Gold,Wood
NC65304,10.14,17.74,21.29,1.75,Treviso Midnight Black,Wood
NC65306,12.91,22.59,27.1,1.75,Treviso Aged Brass,Wood
NC65307,12.91,22.59,27.1,1.75,Treviso Pewter,Wood
NC65314,12.91,22.59,27.1,1.75,Treviso Matte Black,Wood
NC65343,12.91,22.59,27.1,1.75,Treviso Ebony,Wood
NC65401,16.96,29.68,35.62,2.94,Treviso Sterling Silver,Wood
NC65402,16.96,29.68,35.62,2.94,Treviso Gold,Wood
NC65404,12.25,21.44,25.73,2.94,Treviso Midnight Black,Wood
NC65406,16.96,29.68,35.62,2.94,Treviso Aged Brass,Wood
NC65407,16.96,29.68,35.62,2.94,Treviso Pewter,Wood
NC65414,16.96,29.68,35.62,2.94,Treviso Matte Black,Wood
NC65443,16.96,29.68,35.62,2.94,Treviso Ebony,Wood
NC72501,6.57,11.5,13.8,0.25,Metro Floater Ant Gold Leaf,Wood
NC72502,6.57,11.5,13.8,0.25,Metro Floater Ant Silver Leaf,Wood
NC72504,6.16,10.77,12.93,0.25,Metro Floater Ant Black,Wood
NC73101,15.19,26.59,31.91,0.31,Metro Floater Ant Gold,Wood
NC73201,19.62,34.34,41.2,0.5,Metro Floater Ant Gold,Wood
NC73202,19.62,34.34,41.2,0.5,Metro Floater Ant Silver,Wood
NC73311,7.21,12.62,15.14,1.44,Metropolitan Black/Gold,Wood
NC73404,7.46,13.05,15.66,2,Metropolitan Antique Black,Wood
NC73411,8.32,14.56,17.47,2,Metropolitan Black/Gold,Wood
NC73701,5.87,10.26,12.31,0.75,Metropolitan Cap Antique Gold,Wood
NC73702,5.87,10.26,12.31,0.75,Metropolitan Cap Antique Silver,Wood
NC73704,5.26,9.21,11.06,0.75,Metropolitan Cap Antique Black,Wood
NC73804,5.98,10.46,12.55,1.19,Metropolitan Flat Cap Ant Black,Wood
NC85741,6.02,10.54,12.65,0.75,Héritage Black With Gold,Wood
NC85744,6.02,10.54,12.65,0.75,Héritage Brown With Gold,Wood
NC85841,7.45,13.03,15.64,1.25,Héritage Black With Gold,Wood
NC85844,7.45,13.03,15.64,1.25,Héritage Brown With Gold,Wood
NC85941,10.29,18,21.6,2.13,Héritage Black With Gold,Wood
NC85944,10.29,18,21.6,2.13,Héritage Brown With Gold,Wood
NC86041,12.6,22.06,26.47,1.75,Héritage Black With Gold,Wood
NC86044,12.6,22.06,26.47,1.75,Héritage Brown With Gold,Wood
NC86141,13.85,24.24,29.09,2,Héritage Black With Gold,Wood
NC86144,13.85,24.24,29.09,2,Héritage Brown With Gold,Wood
NC86241,10,17.51,21.02,1.38,Héritage Black With Gold,Wood
NC86244,10,17.51,21.02,1.38,Héritage Brown With Gold,Wood
NC87101NP,5.99,10.48,12.58,0.75,Alfresco Gold Leaf,Wood
NC87102NP,5.99,10.48,12.58,0.75,Alfresco Silver Leaf,Wood
NC87104NP,3.72,6.52,7.82,0.75,Alfresco Black,Wood
NC87109NP,3.72,6.52,7.82,0.75,Alfresco Brown,Wood
NC87201,6.96,12.18,14.61,1,Alfresco Gold Leaf Bead,Wood
NC87202,6.96,12.18,14.61,1,Alfresco Silver Leaf Bead,Wood
NC87204,6.93,12.13,14.55,1,Alfresco Black Bead,Wood
NC87209,6.93,12.13,14.55,1,Alfresco Brown Bead,Wood
NC87501NP,12.89,22.55,27.06,2,Alfresco Gold Leaf,Wood
NC87502NP,12.89,22.55,27.06,2,Alfresco Silver Leaf,Wood
NC87504,9.05,15.84,19.01,2,Alfresco Black,Wood
NC87509,9.05,15.84,19.01,2,Alfresco Brown,Wood
NC93809,10.6,18.54,22.26,2.31,Hygge Carbon,Wood
NC93817,10.6,18.54,22.26,2.31,Hygge Natural,Wood
NC93823,10.6,18.54,22.26,2.31,Hygge Dove Grey,Wood
NC93827,10.6,18.54,22.26,2.31,Hygge Walnut,Wood
NC93831,10.6,18.54,22.26,2.31,Hygge Driftwood,Wood
NC93909,6.23,10.9,13.08,1,Hygge Carbon,Wood
NC93917,6.23,10.9,13.08,1,Hygge Natural,Wood
NC93923,6.23,10.9,13.08,1,Hygge Dove Grey,Wood
NC93927,6.23,10.9,13.08,1,Hygge Walnut,Wood
NC93931,6.23,10.9,13.08,1,Hygge Driftwood,Wood
NC94009,9.58,16.76,20.11,2.19,Hygge Carbon,Wood
NC94017,9.58,16.76,20.11,2.19,Hygge Natural,Wood
NC94023,9.58,16.76,20.11,2.19,Hygge Dove Grey,Wood
NC94027,9.58,16.76,20.11,2.19,Hygge Walnut,Wood
NC94031,9.58,16.76,20.11,2.19,Hygge Driftwood,Wood
NC95004,3.23,5.66,6.79,1.44,Silhouette Black,Wood
NC95104,2.76,4.83,5.79,0.88,Silhouette Black,Wood
NC95604,3.43,6.01,7.22,1.56,Silhouette Black,Wood
NC96604,5.92,10.36,12.43,2,Silhouette Black,Wood
NC96904,2.33,4.08,4.89,0.75,Silhouette Black,Wood
NC97101,6.3,11.03,13.24,0.75,Palladio Color Ant Gold,Wood
NC97102,6.3,11.03,13.24,0.75,Palladio Color Ant Silver,Wood
NC97132,6.3,11.03,13.24,0.75,Palladio Color Wedgewood/Silver,Wood
NC97141,6.3,11.03,13.24,0.75,Palladio Color Espresso/Gold,Wood
NC97142,6.3,11.03,13.24,0.75,Palladio Color Graphite/Silver,Wood
NC97181,6.3,11.03,13.24,0.75,Palladio Color Evergreen/Gold,Wood
NC97191,6.3,11.03,13.24,0.75,Palladio Color Rosewood/Gold,Wood
NC97201,9.46,16.57,19.88,1.5,Palladio Color Ant Gold,Wood
NC97202,9.46,16.57,19.88,1.5,Palladio Color Ant Silver,Wood
NC97232,9.46,16.57,19.88,1.5,Palladio Color Wedgewood/Silver,Wood
NC97241,9.46,16.57,19.88,1.5,Palladio Color Espresso/Gold,Wood
NC97242,9.51,16.64,19.97,1.5,Palladio Color Graphite/Silver,Wood
NC97281,9.51,16.64,19.97,1.5,Palladio Color Evergreen/Gold,Wood
NC97301,14.84,25.97,31.16,2.75,Palladio Color Ant Gold,Wood
NC97302,14.84,25.97,31.16,2.75,Palladio Color Ant Silver,Wood
NC97341,14.84,25.97,31.16,2.75,Palladio Color Espresso/Gold,Wood
D6184,2.02,4.06,,1,"1"" Beveled White Linen Liner",Liner
D6185,2.35,4.5,,1.25,"1-1/4"" Beveled Whie Liner",Liner
D8622,1.91,3.78,,0.75,"3/4"" Beveled Black Liner",Liner
D8624,2.08,4.23,,1.25,"1-1/4"" Beveled Black Liner",Liner
D8630,3.07,6.05,,1.5,"1-1/2"" Wheat Scoop Linen Liner w/Gold",Liner
D8633,1.9,3.93,,1.5,"1"" White Scoop Linen Liner",Liner
D8635,3.07,6.05,,1.5,"1-1/2"" White Scoop Linen Liner",Liner
D8636,3.07,6.05,,1.5,"1-1/2"" Wheat Scoop Linen Liner",Liner
D8637,4.3,7.63,,2,"2"" White Scoop Linen Liner",Liner
D9639,4.52,8.07,,2.5,"2-1/2"" White Scoop Liner",Liner
D9640,4.64,8.1,,2.5,"2-1/2"" Black Scoop Liner",Liner
WSTRCR1,1.23,2.4,,0.5,"1-1/2"" x 3/4"" Stretcher Bar Combo",Wood
WSTRCR15,1.23,2.4,,0.75,"3/4"" x 1-1/2"" Stretcher Bar Combo",Wood
WSTRCR2,2.18,4.03,,2,"2"" x 1"" Stretcher Bar",Wood
WSTRCR3,2.72,4.9,,2,"2"" x 1-3/8"" Stretcher Bar",Wood
WSTRCR4,2.28,4.2,,2,"1-1/8"" x 2""",Wood
PR08,1.67,3.75,4.5,0.63,,Wood
PR017,15.42,26.21,31.46,2.25,,Wood
PR026,9.71,17,20.39,1.25,,Wood
PR027,5.18,9.06,10.88,1.38,,Wood
PR028,12.89,22.56,27.07,2.25,,Wood
PR029,10.12,17.71,21.25,1.5,,Wood
PR030,5.71,9.99,11.99,0.75,,Wood
PR30B,1.71,3.84,4.61,0.5,,Wood
PR033,12.89,22.56,27.07,2.88,,Wood
PR034,5.18,9.06,10.88,0.63,,Wood
PR035,4.12,7.63,9.16,0.88,,Wood
PR36,1.65,3.72,4.47,0.38,,Wood
PR037,1.71,4.27,5.13,0.63,,Wood
PR37,1.77,3.98,4.77,0.5,,Wood
PR41B,2.12,4.77,5.73,0.75,,Wood
PR44,2.71,5.41,6.49,0.75,,Wood
PR45,2.71,5,6.01,0.75,,Wood
PR070T,1.65,3.7,4.43,0.75,,Wood
PR081,4.88,8.55,10.25,1.75,,Wood
PR157,2.65,5.06,6.07,0.5,,Wood
PR158,3.12,5.87,7.05,1,,Wood
PR221,0.87,2.33,2.79,1.38,,Wood
PR291B,2.65,5.16,6.19,1,,Wood
PR291BL,2.88,5.61,6.73,1,,Wood
PR305,1.88,3.7,4.43,0.56,,Wood
PR306,2.12,4.25,5.09,0.75,,Wood
PR307,2.59,5.04,6.05,1,,Wood
PR394,2.41,4.81,5.76,0.63,,Wood
PR411,2.76,4.81,5.76,1.13,,Wood
PR412,3.41,6.31,7.58,1.5,,Wood
PR438,1.23,2.77,3.32,0.63,,Wood
PR452,1.41,3.17,3.81,0.5,,Wood
PR453,1.41,3.17,3.81,0.5,,Wood
PR462,3.18,6.19,7.44,0.75,,Wood
PR463,3.18,6,7.19,0.75,,Wood
PR464,3.18,6,7.19,0.75,,Wood
PR473,3.35,6.37,7.65,1.25,,Wood
PR488,2.2,4.94,5.93,0.5,,Wood
PR524,3.25,6.22,7.46,1,,Wood
PR525,3.69,6.22,7.46,1,,Wood
PR534,3.71,6.7,8.04,1.5,,Wood
PR544,2.95,5.75,6.91,1,,Wood
PR631,1.77,3.98,4.77,0.63,,Wood
PR635,5.3,9.28,11.14,1.25,,Wood
PR649,4.06,7.51,9.02,0.75,,Wood
PR650,4.06,7.51,9.02,0.75,,Wood
PR651,3.88,7.21,8.65,0.75,,Wood
PR657,5.36,9.37,11.24,1.25,,Wood
PR674,7.59,13.29,15.95,2.25,,Wood
PR675,7.59,13.29,15.95,2.25,,Wood
PR676,7.59,13.29,15.95,2.25,,Wood
PR751,8.89,15.55,18.67,2,,Wood
PR752,14.42,24.52,29.43,3.25,,Wood
PR753,4.3,7.52,9.03,0.75,,Wood
PR754,14.07,23.91,28.7,3,,Wood
PR795,1.74,3.91,4.69,1.13,,Wood
PR954,3.71,6.7,8.04,1.75,,Wood
PR1127,2.12,4.07,4.88,0.75,,Wood
PR1177,4.65,8.14,9.77,1,,Wood
PR1178,4.65,8.14,9.77,1,,Wood
PR1211,2.71,4.81,5.76,1,,Wood
PR1212,2.88,4.83,5.8,0.75,,Wood
PR1213BK,2.71,4.81,5.76,0.5,,Wood
PR1214,2.65,4.91,5.88,1,,Wood
PR1218,2.48,4.58,5.49,0.5,,Wood
PR1219,3.12,5.47,6.56,0.75,,Wood
PR1220,2.12,3.93,4.71,0.88,,Wood
PR1221,3.65,6.39,7.67,1.63,,Wood
PR1223,2.18,3.76,4.51,0.75,,Wood
PR1224,3.35,5.87,7.05,0.88,,Wood
PR1225,3.35,5.87,7.05,0.88,,Wood
PR1226,3,5.56,6.67,0.88,,Wood
PR1228,3.65,6.39,7.67,1.5,,Wood
PR1231,3.59,6.28,7.54,1.13,,Wood
PR1232,3.59,6.28,7.54,1.13,,Wood
PR1241,1.71,3.89,4.68,0.5,,Wood
PR1242,1.71,3.89,4.68,0.5,,Wood
PR1243,1.71,3.89,4.68,0.5,,Wood
PR1303,1.95,3.76,4.51,0.5,,Wood
PR1304,1.95,3.76,4.51,0.5,,Wood
PR1315,2.76,5.1,6.13,0.63,,Wood
PR1316,2.76,5.1,6.13,0.63,,Wood
PR1318,3.35,5.87,7.05,0.5,,Wood
PR1319,3.35,5.87,7.05,0.5,,Wood
PR1320,2,4.03,4.83,0.5,,Wood
PR1321,2,4.03,4.83,0.5,,Wood
PR1341,2.24,5.05,6.06,0.75,,Wood
PR1342,2.24,5.05,6.06,0.75,,Wood
PR1343,2.24,5.05,6.06,0.75,,Wood
PR1361,4.36,7.62,9.15,1.38,,Wood
PR1362,4.36,7.62,9.15,1.38,,Wood
PR1364,4.36,7.62,9.15,1.38,,Wood
PR1376,2.76,5.41,6.49,2.5,,Wood
PR1414,3.41,5.97,7.17,1,,Wood
PR1415,4,7.01,8.4,1,,Wood
PR1416,4,7.01,8.4,1,,Wood
PR1418,3.94,7.01,8.4,0.75,,Wood
PR1419,3.94,7.01,8.4,0.75,,Wood
PR1420,2.53,4.7,5.63,0.75,,Wood
PR1421,2.53,4.7,5.63,0.75,,Wood
PR1431,5.71,9.99,11.99,1.75,,Wood
PR1432,5.71,9.99,11.99,1.75,,Wood
PR1433,5.71,9.99,11.99,1.75,,Wood
PR1434,5.71,9.99,11.99,1.75,,Wood
PR1442,2.18,4.79,5.74,1.13,,Wood
PR1452,3.65,6.59,7.91,1.13,,Wood
PR1453,4.65,8.14,9.77,1.5,,Wood
PR1461,5.36,9.37,11.24,2.13,,Wood
PR1462,5.36,9.37,11.24,2.13,,Wood
PR1463,5.36,9.37,11.24,2.13,,Wood
PR1464,5.36,9.37,11.24,2.13,,Wood
PR1471,2.54,4.95,5.94,1,,Wood
PR1472,2.54,4.95,5.94,1,,Wood
PR1473,2.54,4.95,5.94,1,,Wood
PR1481,3.41,6.14,7.37,1.5,,Wood
PR1482,3.41,6.14,7.37,1.5,,Wood
PR1483,3.41,6.14,7.37,1.5,,Wood
PR1514,3.41,6.31,7.58,1,,Wood
PR1540,2.59,4.94,5.93,0.63,,Wood
PR1541,2.83,5.42,6.51,0.75,,Wood
PR1542,3.88,7.18,8.62,1.25,,Wood
PR1543,4.76,8.34,10.01,1.5,,Wood
PR1560,2.53,4.26,5.1,0.63,,Wood
PR1561,2.83,5.42,6.51,0.75,,Wood
PR1562,3.59,6.63,7.96,1.13,,Wood
PR1563,4.59,8.03,9.64,1.5,,Wood
PR1571,2.88,5.54,6.66,0.75,,Wood
PR1572,4.65,8.23,9.88,1.25,,Wood
PR1581,3.94,7.21,8.65,1.38,,Wood
PR1590,2.59,4.94,5.93,0.63,,Wood
PR1591,2.83,5.42,6.51,0.75,,Wood
PR1592,3.88,6.96,8.36,1.13,,Wood
PR1593,4.76,8.34,10.01,1.5,,Wood
PR1631,4.83,8.45,10.14,1.25,,Wood
PR1632,4.83,8.45,10.14,1.25,,Wood
PR1633,4.83,8.45,10.14,1.25,,Wood
PR1634,4.83,8.45,10.14,1.25,,Wood
PR1635,5.59,9.78,11.74,1.13,,Wood
PR1636,5.59,9.78,11.74,1.13,,Wood
PR1637,5.59,9.78,11.74,1.13,,Wood
PR1638,5.59,9.78,11.74,1.13,,Wood
PR1639S,4.41,7.79,9.35,1,,Wood
PR1651,2.43,5.06,6.07,1.5,,Wood
PR1668,5.53,9.68,11.62,2,,Wood
PR1669,5.53,9.68,11.62,2,,Wood
PR1671,6.48,11.34,13.61,1.75,,Wood
PR1672,6.48,11.34,13.61,1.75,,Wood
PR1734,1.65,3.55,4.27,1.25,,Wood
PR1735,2.35,4.68,5.61,2,,Wood
PR1736,2.59,4.83,5.8,2,,Wood
PR1738,4.11,7.61,9.13,2.5,,Wood
PR1751,3.47,7.14,8.57,2,,Wood
PR1752,3.47,7.14,8.57,2,,Wood
PR1851,3.23,6.58,7.9,1.25,,Wood
PR1859,3.53,6.18,7.41,1,,Wood
PR1860,3.53,6.18,7.41,1,,Wood
PR1864,4.76,8.34,10.01,1.5,,Wood
PR1865,4.76,8.34,10.01,1.5,,Wood
PR1866,4.76,8.34,10.01,1.5,,Wood
PR1872,4.24,7.83,9.39,1,,Wood
PR1883,3.12,5.78,6.93,0.88,,Wood
PR1885,3.12,5.78,6.93,0.88,,Wood
PR1887,3.12,5.78,6.93,0.88,,Wood
PR1931,2.76,4.83,5.8,0.75,,Wood
PR1932,2.76,4.83,5.8,0.75,,Wood
PR1933,2.76,4.83,5.8,0.75,,Wood
PR1941,4.83,8.45,10.14,1.38,,Wood
PR1942,4.83,8.45,10.14,1.38,,Wood
PR1943,4.83,8.45,10.14,1.38,,Wood
PR1951,4.85,8.49,10.19,2,,Wood
PR1961,4.3,7.52,9.03,1.5,,Wood
PR1962,4.3,7.52,9.03,1.5,,Wood
PR1963,4.3,7.52,9.03,1.5,,Wood
PR2001,3.59,6.58,7.9,0.75,,Wood
PR2002,3.59,6.58,7.9,0.75,,Wood
PR2013,3.35,5.95,7.14,0.75,,Wood
PR2016,3.35,5.95,7.14,0.75,,Wood
PR2113,4.3,7.52,9.03,1.13,,Wood
PR2114,4.3,7.52,9.03,1.13,,Wood
PR2115,4.3,7.52,9.03,1.13,,Wood
