ITEM,description,fortybysixty,UPC,cost,group
C89598,SELECT BEFORE DARK 40X60,40x60,93924138379,32.03,Matboard
C89599,SELECT AFTER DARK 40X60,40x60,93924138386,32.03,Matboard
C89601,SELECT SANDPAPER 40X60,40x60,93924184314,32.11,Matboard
C8961,CREAM 40X60,40x60,93924231896,22.19,Matboard
C89610,CODE RED 40X60,40x60,93924169670,32.03,Matboard
C89613,SELECT SUPER WHITE 40X60,40x60,93924161025,32.03,Matboard
C89614,SELECT GLOW 40X60,40x60,93924161032,32.03,Matboard
C89618,SELECT TATER 40X60,40x60,93924161056,32.03,Matboard
C8962,FRENCH GRAY 40X60,40x60,93924204821,22.19,Matboard
C89632,BLACK BELT 40X60,40x60,93924169700,32.03,Matboard
C89633,40X60 SEL Morning,40x60,93924183867,32.03,Matboard
C89635,40X60 SEL Nightfall,40x60,93924183881,32.03,Matboard
C8969,SILVER 40x60,40x60,93924204845,22.19,Matboard
C8974,CRES DAWN GRAY 40X60,40x60,93924204883,25.17,Matboard
C89800,OLD(M5928L) BAKER'S WHITE 40X6,40x60,93924150098,32.03,Matboard
C89801,OLD(M1922L) CHALK 40X60,40x60,93924150050,32.03,Matboard
C89804,OLD(M1909L) PURE WHITE 40X60,40x60,93924150081,32.03,Matboard
C89806,OLD(M1930L) DOVE 40X60,40x60,93924150111,32.03,Matboard
C89807,OLD(M1904L) OFF WHITE 40X60,40x60,93924150104,32.03,Matboard
C89808,OLD(M1949L) IVORY ART 40X60,40x60,93924150395,32.03,Matboard
C89809,OLD(M5911L) TWILIGHT 40X60,40x60,93924150449,32.03,Matboard
C89812,OLD(M5912L) OLD IVORY 40X60,40x60,93924150388,32.03,Matboard
C89813,OLD(M5916L) SANDSTONE 40X60,40x60,93924150432,32.03,Matboard
C89814,OLD(M1915L) AUTUMN GOLD 40X60,40x60,93924150487,32.03,Matboard
C89820,OLD(M1935L) FOREST GREEN 40X60,40x60,93924150661,32.03,Matboard
