item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
WM4034,13/16 OLIVE,3.28,5.49,7.14, 9/16,13/16,Wood
WM4035,13/16 RASPBERRY RED,3.28,5.49,7.14, 9/16,13/16,Wood
WM4036,1 1/2 BROWN,4.84,8.47,10.59,11/16,1  1/2 ,Wood
WM4037,1 1/2 GREY,4.84,8.47,10.59,11/16,1  1/2 ,Wood
WM4038,1 1/2 BLACK,4.84,8.47,10.59,11/16,1  1/2 ,Wood
WM4039,1 1/2 WHITE,4.84,8.47,10.59,11/16,1  1/2 ,Wood
WM4040,1 1/2 SILVER,5.64,9.88,12.34,11/16,1  1/2 ,Wood
WM4041,1 1/2 GOLD,5.64,9.88,12.34,11/16,1  1/2 ,Wood
WM4044,3/4 WHITE TACONIC,3.03,5.39,6.73, 3/8 , 3/4 ,Wood
WM4045,3/4 GRAY TACONIC,3.03,5.39,6.73, 3/8 , 3/4 ,Wood
WM4046,3/4 BLUE TACONIC,3.03,5.39,6.73, 3/8 , 3/4 ,Wood
WM4047,3/4 GREEN TACONIC,3.03,5.39,6.73, 3/8 , 3/4 ,Wood
WM4048,3/4 BLACK TACONIC,3.03,5.39,6.73, 3/8 , 3/4 ,Wood
WM4049,1 1/8 ANTIQUE IVORY/SILVER,5.25,9.23,11.54, 1/2 ,1  1/8 ,Wood
WM4050,1 1/8 ANTIQUE GRAY/SILVER,5.25,9.23,11.54, 1/2 ,1  1/8 ,Wood
WM4051,1 1/8 WALNUT/GOLD,5.25,9.23,11.54, 1/2 ,1  1/8 ,Wood
WM4052,1 1/8 BLACK/GOLD,5.25,9.23,11.54, 1/2 ,1  1/8 ,Wood
WM4053,1 5/8  WEATHERED,4.40,7.92,9.91, 1/2 ,1  5/8 ,Wood
WM4054,13/16 BLACK,3.43,5.74,7.17,89/95,69/85,Wood
WM4055,2 5/16 CORTEN,12.10,21.17,26.47,1  6/97,2 29/93,Wood
WM4056,1 5/16 CORTEN,8.67,15.17,18.96,50/89,1 29/93,Wood
WM4060,1 5/16 GREY,4.95,8.67,10.82,50/89,1 29/93,Wood
WM4062,1 5/16 WHITE,5.12,8.67,10.82,50/89,1 29/93,Wood
WM4069,1 9/16 MOSSY GREEN,8.40,14.44,18.05, 3/4 ,1  1/2 ,Wood
WM4070,1 9/16 MINT GREEN,8.40,14.44,18.05, 3/4 ,1  1/2 ,Wood
WM4071,1 9/16 DOVE,8.40,14.44,18.05, 3/4 ,1  1/2 ,Wood
WM4072,1 9/16 MUSTARD,8.40,14.44,18.05, 3/4 ,1  1/2 ,Wood
WM4073,1 9/16 MIDNIGHT BLUE,8.40,14.44,18.05, 3/4 ,1  1/2 ,Wood
WM4074,1 9/16 DARK GREEN,8.40,14.44,18.05, 3/4 ,1  1/2 ,Wood
WM4075,9/16 GOLD,2.69,4.51,5.64,29/93,50/89,Wood
WM4076,9/16 SILVER,2.69,4.51,5.64,29/93,50/89,Wood
WM4077,3/4 GOLD CLOUD,1.92,3.22,4.03,29/93, 3/4 ,Wood
WM4078,3/4 SILVER CLOUD,1.92,3.22,4.03,29/93, 3/4 ,Wood
WM4079,9/16 NATURAL OAK,4.31,7.35,9.81, 9/16, 9/16,Wood
WM4080,9/16 LINEN GREY,4.31,7.35,9.81, 9/16, 9/16,Wood
WM4081,9/16 NUT,4.31,7.35,9.81, 9/16, 9/16,Wood
WM4082,9/16 CHARCOAL BLACK,4.31,7.35,9.81, 9/16, 9/16,Wood
WM4083,9/16 DARK SMOKE GREY,4.31,7.35,9.81, 9/16, 9/16,Wood
WM4084,9/16 SNOW WHITE,4.31,7.35,9.81,5/8, 9/16,Wood
WM4085,13/16 NATURAL OAK,5.45,9.53,11.91,7/8,69/85,Wood
WM4086,13/16 LINEN GREY,5.45,9.53,11.91,7/8,13/16,Wood
WM4087,13/16 NUT,5.45,9.53,11.91, 7/8 ,13/16,Wood
WM4088,13/16 CHARCOAL BLACK,5.45,9.53,11.91, 7/8 ,13/16,Wood
WM4089,13/16 DARK SMOKE GREY,5.45,9.53,11.91, 7/8 ,13/16,Wood
WM4090,13/16 SNOW WHITE,5.45,9.53,11.91, 7/8 ,13/16,Wood
WM4091,3/4 CREAM SILVER TWILA,3.44,6.14,7.67, 1/2 , 3/4 ,Wood
WM4092,3/4 GREY SILVER TWILA,3.44,6.14,7.67, 1/2 , 3/4 ,Wood
WM4093,3/4 BROWN SILVER TWILA,3.44,6.14,7.67, 1/2 , 3/4 ,Wood
WM4094,1 CREAM SILVER TWILA,5.14,9.51,11.89,1,1,Wood
WM4095,1 GREY SILVER TWILA,5.14,9.51,11.89,1,1,Wood
WM4096,1 BROWN SILVER TWILA,5.14,9.51,11.89,1,1,Wood
WM4097,1 3/4 SILVER CONTEMPO,5.40,9.16,11.46, 1/2 ,1  3/4 ,Wood
WM4098,1 3/4 GOLD CONTEMPO,5.40,9.16,11.46, 1/2 ,1  3/4 ,Wood
WM4099,1 3/4 BLACK W/SILVER LIP,5.40,9.16,11.46, 1/2 ,1  3/4 ,Wood
WM4100,1 3/4 BLACK W/GOLD LIP,5.40,9.16,11.46, 1/2 ,1  3/4 ,Wood
WM4101,7/16 X1 5/8 DEEP BLACK FLOATER,7.66,13.21,16.51,1 50/89,38/87,Wood
WM4102,7/16 X 1 5/8 DEEP OAK FLOATER,7.66,13.21,16.51,1 50/89,38/87,Wood
WM4104,3/8 X 1 5/8 DEEP BLACK FLOATER,5.60,9.80,12.24,1 50/89, 3/8 ,Wood
WM4105,3/8 X 1 5/8 DEEP WHITE FLOATER,5.60,9.80,12.24,1  9/16, 3/8 ,Wood
WM4106,1 1/2 X 1 5/8 LIGHT WALNUT,5.35,9.23,11.53,1  5/8 ,1  9/16,Wood
WM4107,1 1/2 X 1 5/8 BLACK SHADOWBOX,5.35,9.23,11.53,1  5/8 ,1  9/16,Wood
WM4108,1 1/2 X 1 5/8 WHITE SHADOW BOX,5.35,9.23,11.53,1  5/8 ,1  9/16,Wood
WM4109,1 3/16 MATTE BLACK,5.41,9.75,12.67,2  1/2 ,1  3/16,Wood
WM4110,1 3/16 MATTE WHITE,5.41,9.75,12.67,2  1/2 ,1  3/16,Wood
WM4111,5/16 X1 5/8 WHITE DEEP FLOATER,6.04,10.87,13.59,1  5/8 ,1  3/4 ,Wood
WM4112,5/16 X1 5/8 DEEP BLACK FLOATER,6.04,10.87,13.59,1  5/8 ,1  3/4 ,Wood
WM4113,13/16 BROWN,3.23,5.66,7.07,11/16,13/16,Wood
WM4114,13/16 GREY,3.23,5.66,7.07,11/16,13/16,Wood
WM4115,13/16 BLACK,3.23,5.66,7.07,11/16,13/16,Wood
WM4116,13/16 WHITE,3.23,5.66,7.07,11/16,13/16,Wood
WM4117,13/16 SILVER,3.92,6.59,8.24,11/16,13/16,Wood
WM4118,13/16 GOLD,3.92,6.59,8.24,11/16,13/16,Wood
WM4119,5/8 SILVER,3.58,5.98,7.48, 3/8 , 5/8 ,Wood
WM4120,5/8 GOLD,3.58,5.98,7.48, 3/8 , 5/8 ,Wood
WM4121,5/8 ANTIQUE BLACK,3.02,5.07,6.06, 3/8 , 5/8 ,Wood
WM4122,11/16 SILVER,3.58,5.99,7.48, 3/8 ,11/16,Wood
WM4123,11/16 GOLD,3.58,5.99,7.48, 3/8 ,11/16,Wood
WM4124,11/16 ANTIQUE BLACK,3.02,5.07,6.06, 3/8 ,11/16,Wood
WM4125,5/8 YELLOW HAS PLASTIC COATING,1.86,3.25,4.07, 5/16, 5/8 ,Wood
WM4126,5/8 DARK GREEN HAS PLASTIC COA,1.86,3.25,4.07, 5/16, 5/8 ,Wood
WM4127,5/8 TEAL HAS PLASTIC COATING,1.86,3.25,4.07, 5/16, 5/8 ,Wood
WM4128,5/8 GREY HAS PLASTIC COATING,1.86,3.25,4.07, 5/16, 5/8 ,Wood
WM4129,5/8 BLACK HAS PLASTIC COATING,1.86,3.25,4.07, 5/16, 5/8 ,Wood
WM4130,3/4 NATURAL RAW WOOD,2.53,4.24,5.30,1  3/4 , 3/4 ,Wood
WM4131,3/4 NATURAL RAW WOOD,2.08,3.74,4.69,1  1/4 , 3/4 ,Wood
WM4132,1/2 WHITE PICKET POST,2.33,4.16,5.20,5/8, 1/2 ,Wood
WM4133,1/2 GREY PICKET POST,2.33,4.16,5.20,5/8, 1/2 ,Wood
WM4134,1/2 BROWN PICKET POST,2.33,4.16,5.20,5/8, 1/2 ,Wood
WM4135,3/4 WHITE PICKET POST,3.53,6.27,7.84,1 5/8, 3/4 ,Wood
WM4136,3/4 GREY PICKET POST,3.53,6.27,7.84,1 5/8, 3/4 ,Wood
WM4137,3/4 BROWN PICKET POST,3.53,6.27,7.84,1 5/8, 3/4 ,Wood
WM4138,1/2 WHITE STAINED MODESTO,1.61,2.87,3.58,5/8, 1/2 ,Wood
WM4139,1/2 WALNUT STAINED MODESTO,1.61,2.87,3.58,5/8, 1/2 ,Wood
WM4140,1/2 BLACK STAINED MODESTO,1.61,2.87,3.58,5/8, 1/2 ,Wood
WM4141,3/4 WHITE STAINED MODESTO,2.13,3.76,4.70,7/8, 3/4 ,Wood
WM4142,3/4 WALNUT STAINED MODESTO,2.13,3.76,4.70,7/8, 3/4 ,Wood
WM4143,3/4 BLACK STAINED MODESTO,2.13,3.76,4.70,7/8, 3/4 ,Wood
WM4144,5/8 MATTE WHITE,1.99,3.49,4.54,1/3, 5/8 ,Wood
WM4145,5/8 BLACK OPAQUE,1.99,3.49,4.54,1/3, 5/8 ,Wood
WM4146,5/8 DARK GREY MATTE,1.99,3.49,4.54,1/3, 5/8 ,Wood
WM4147,5/8 DARK BLUE MATTE,1.99,3.49,4.54,1/3, 5/8 ,Wood
WM4148,5/8 DARK GREEN MATTE,1.99,3.49,4.54,1/3, 5/8 ,Wood
WM4149,5/8 DARK RED OPAQUE MATTE,1.99,3.49,4.54,1/3, 5/8 ,Wood
WM4150,5/8 ORANGE OPAQUE MATTE,1.99,3.49,4.54,1/3, 5/8 ,Wood
WM4151,5/8 YELLOW MATTE,1.99,3.49,4.54,1/3, 5/8 ,Wood
WM4152,5/8 BLUE OCTANIUM,1.99,3.49,4.54, 5/16, 5/8 ,Wood
WM4153,1 1/2 GOLD,7.14,13.92,18.10,1,1  1/2 ,Wood
WM4154,1 1/2 SILVER,7.14,13.92,18.10,1,1  1/2 ,Wood
WM4155,1 1/2 PEWTER,7.14,13.92,18.10,1,1  1/2 ,Wood
WM4156,1 1/2 BRONZE,7.14,13.92,18.10,1,1  1/2 ,Wood
WM4157,1 1/8 ASH,2.98,5.81,7.55,3/4,1  1/8 ,Wood
WM4158,1 1/8 LIGHT WALNUT,2.98,5.81,7.55,3/4,1  1/8 ,Wood
WM4159,1 1/8 MODERN WALNUT,2.98,5.81,7.55,3/4,1  1/8 ,Wood
WM4160,1 1/8 EBONY,2.98,5.81,7.55,3/4,1  1/8 ,Wood
WM4161,3/4 ASH,2.70,5.27,6.84,1, 3/4 ,Wood
WM4162,3/4 LIGHT WALNUT,2.70,5.27,6.84,1, 3/4 ,Wood
WM4163,3/4 MODERN WALNUT,2.70,5.27,6.84,1, 3/4 ,Wood
WM4164,3/4 EBONY,2.70,5.27,6.84,1, 3/4 ,Wood
WM4165,5/8 ASH,2.44,4.76,6.19,1, 5/8 ,Wood
WM4166,5/8 LIGHT WALNUT,2.44,4.76,6.19,1, 5/8 ,Wood
WM4167,5/8 MODERN WALNUT,2.44,4.76,6.19,1, 5/8 ,Wood
WM4168,5/8 EBONY,2.44,4.76,6.19,1, 5/8 ,Wood
WM4169,1 PEWTER,5.95,11.60,15.08,1 1/4,1,Wood
WM4170,1 BRONZE,5.95,11.60,15.08,1 1/4,1,Wood
WM4171,1 BLACK,5.95,11.60,15.08,1 1/4,1,Wood
WM4172,1 WHITE,5.95,11.60,15.08,1 1/4,1,Wood
WM4173,3/4 PEWTER,4.40,8.58,11.15,5/9, 3/4 ,Wood
WM4174,3/4 BRONZE,4.40,8.58,11.15,5/9, 3/4 ,Wood
WM4175,3/4 BLACK,4.40,8.58,11.15,5/9, 3/4 ,Wood
WM4176,3/4 BURNT ORANGE,4.44,8.66,11.26,1, 3/4 ,Wood
WM4177,3/4 YELLOW,4.44,8.66,11.26,1, 3/4 ,Wood
WM4178,3/4 FOREST GREEN,4.44,8.66,11.26,1, 3/4 ,Wood
WM4179,3/4 BLUE,4.44,8.66,11.26,1, 3/4 ,Wood
WM4180,3/4 GREY,4.44,8.66,11.26,1, 3/4 ,Wood
WM4181,3/4 RED,4.44,8.66,11.26,1, 3/4 ,Wood
WM4182,3/4 ANTIQUE GOLD,4.44,8.66,11.26,1, 3/4 ,Wood
WM4183,3/4 ANTIQUE SILVER,4.44,8.66,11.26,1, 3/4 ,Wood
WM4184,3/4 BLACK,4.44,8.63,11.26,1, 3/4 ,Wood
WM4185,3/4 WHITE,4.44,8.66,11.26,1, 3/4 ,Wood
WM4186,1 DARK GREY,2.66,4.80,5.80, 8/16,1,Wood
WM4187,1 DARK BLUE,2.66,4.80,5.80,1/2,1,Wood
WM4188,1 DARK GREEN,2.66,4.80,5.80,1/2,1,Wood
WM4189,1 DARK RED,2.66,4.80,5.80,1/2,1,Wood
WM4190,1 ORANGE,2.66,4.80,5.80,1/2,1,Wood
WM4191,1 YELLOW,2.66,4.80,5.80,4/8,1,Wood
WM4192,1 PINK,2.66,4.80,5.80,4/8,1,Wood
WM4193,1 TEAL,2.66,4.80,5.80,4/8,1,Wood
WM4194,9/16 BLACK WITH GOLD,3.13,5.41,6.76,3/8, 9/16,Wood
WM4195,9/16 BLACK WITH SILVER,3.13,5.41,6.76,3/8, 9/16,Wood
WM4196,13/16 GOLD WITH BEADS,3.66,6.45,7.95,4/8,13/16,Wood
WM4197,13/16 BROWN WITH GOLD BEAD,3.66,6.45,7.95,4/8,13/16,Wood
WM4198,13/16 BLACK WITH GOLD BEAD,3.66,6.48,7.95,4/8,13/16,Wood
WM4199,13/16 BLACK WITH SILVER BEAD,3.66,6.48,7.95, 8/16,13/16,Wood
WM4200,13/16 BLACK WITH GOLD STEP,4.12,7.25,9.16,14/16,69/85,Wood
WM4201,13/16 BLACK WITH SILVER STEP,4.12,7.25,9.16,13/16, 7/8 ,Wood
WM4202,13/16 LIGHT GOLD,5.10,8.91,11.14,7/8,13/16,Wood
WM4203,13/16 LIGHT SILVER,5.10,8.91,11.14,7/8,13/16,Wood
WM4204,1/2 GOLD NUVOLA,2.35,4.24,5.29,3/8, 1/2 ,Wood
WM4205,1/2 SILVER NUVOLA,2.35,4.06,5.07,3/8, 1/2 ,Wood
WM4206,13/16 GOLD NUVOLA,3.51,6.31,7.89,1  3/16,13/16,Wood
WM4207,13/16 SILVER NUVOLA,3.51,6.31,7.89,1  3/16,13/16,Wood
WM4208,3/4 SILVER,2.18,3.93,4.91, 4/16, 3/4 ,Wood
WM4209,3/4 GOLD,2.18,3.93,4.91,2/8, 3/4 ,Wood
WM4210,3/4 BLACK SILVER,2.18,3.93,4.91,2/8, 3/4 ,Wood
WM4211,3/4 BLACK GOLD,2.18,3.93,4.91,2/8, 3/4 ,Wood
WM4212,1 15/16 SILVER,8.22,14.38,17.97,3/8,1 15/16,Wood
WM4213,1 15/16 GOLD,8.22,14.38,17.97,3/8,1 15/16,Wood
WM4214,1 15/16 BLACK,7.40,12.96,16.20, 6/16,1 15/16,Wood
WM4215,1 3/16 SILVER,5.85,9.80,12.25, 6/16,1  9/16,Wood
WM4216,1 3/16 GOLD,5.85,9.80,12.25, 6/16,1  9/16,Wood
WM4217,1 3/16  BLACK,5.35,9.36,11.70, 6/16,1  9/16,Wood
WM4218,1 3/16  BLACK & GOLD,5.85,9.80,12.25, 6/16,1  9/16,Wood
WM4219,1 3/16  BLACK & SILVER,5.85,9.80,12.25,3/8,1  9/16,Wood
WM4220,1 5/16 BLACK WITH GOLD,5.85,9.80,12.25,5/8,1  5/16,Wood
WM4221,1 5/16 BLACK WITH GOLD,6.16,10.63,13.24,5/8,1  5/16,Wood
WM4222,2 3/16 BLACK GOLD,8.64,14.75,18.50,5/8,1  9/16,Wood
WM4223,1 9/16 BLACK GOLD,6.16,10.63,13.24,3/8,1  9/16,Wood
WM4224,1 5/16 BLUE SABI,5.15,9.27,11.59,5/8,1  5/16,Wood
WM4225,1 5/16 BROWN SABI,5.15,9.27,11.59,10/16,1  5/16,Wood
WM4226,1 5/16 BLACK SABI,5.15,9.27,11.59,5/8,1  5/16,Wood
WM4227,13/16 BLUE SABI,5.15,9.27,11.59,1,13/16,Wood
WM4228,13/16 BROWN SABI,2.58,9.27,11.59,1,13/16,Wood
WM4229,13/16 BLACK SABI,5.15,9.27,11.59,1,13/16,Wood
WM4230,11/16 BLACK POEM II,3.11,5.60,7.00, 5/8 ,11/16,Wood
WM4231,11/16 RED POEM II,3.84,6.91,8.64, 5/8 ,11/16,Wood
WM4232,11/16 BLUE POEM II,3.84,6.91,8.64, 5/8 ,11/16,Wood
WM4233,11/16 GREEN POEM II,3.84,6.91,8.64, 5/8 ,11/16,Wood
WM4234,11/16 WHITE POEM II,3.11,5.60,7.00, 5/8 ,11/16,Wood
WM4235,3/4 COFFEE BROWN OLEA,4.75,8.55,10.69,13/16, 3/4 ,Wood
WM4236,3/4 PECAN OLEA,4.75,8.55,10.69,13/16, 3/4 ,Wood
WM4237,3/4 CHERRY OLEA,4.75,8.55,10.69,13/16, 3/4 ,Wood
WM4238,3/4 TAUPE OLEA,4.75,8.55,10.69,13/16, 3/4 ,Wood
WM4239,3/4 GRAY OLEA,4.75,8.55,10.69,13/16, 3/4 ,Wood
WM4240,3/4 COFFEE BROWN STAIN,4.88,8.78,10.97,1  1/8 , 3/4 ,Wood
WM4241,3/4 HONEY MAPLE STAIN,4.88,8.78,10.97,1  1/8 , 3/4 ,Wood
WM4242,3/4 CLEAR STAIN,4.88,8.78,10.97,1 1/8, 3/4 ,Wood
WM4243,3/4 MAHOGANY STAIN,4.88,8.78,10.97,1  1/8 , 3/4 ,Wood
WM4244,1/2 SILVER BEAD FILLET,2.38,,, 1/4 , 1/2 ,Fillet
WM4245,1/2 GOLD BEAD FILLET,2.38,,, 1/4 , 1/2 ,Fillet
WM4246,1/2 BLACK BEAD FILLET,2.38,,, 3/16, 3/4 ,Fillet
WM4247,5/8 GOLD FILLET VIRTU,2.37,,, 1/4 , 5/8 ,Fillet
WM4248,5/8 SILVER FILLET VIRTU,2.37,,, 3/16, 5/8 ,Fillet
WM4249,3/4 WHITE LINEN LINER,1.82,3.55,4.62, 1/4 , 3/4 ,Liner
WM4250,5/8 ANTIQUE SILVER FENICE,3.74,6.73,8.42, 3/8 , 5/8 ,Wood
WM4251,5/8 ANTIQUE GOLD FENICE,3.74,6.73,8.42, 3/8 , 5/8 ,Wood
WM4252,5/8 BLACK FENICE,3.13,5.39,6.73, 3/8 , 5/8 ,Wood
WM4253,11/16 WARM SILVER FENICE,3.69,6.35,7.95, 3/8 ,11/16,Wood
WM4254,11/16 GOLD FENICE,3.69,6.35,7.95, 3/8 ,11/16,Wood
WM4255,11/16 BLACK FENICE,2.89,4.93,6.21, 3/8 ,11/16,Wood
WM4256,9/16 LIGHT BROWN RIVER,1.67,3.00,3.76, 3/8 , 9/16,Wood
WM4257,9/16 DARK BROWN RIVER,1.67,3.00,3.76, 3/8 , 9/16,Wood
WM4258,9/16  GREY RIVER,1.67,3.00,3.76, 3/8 , 9/16,Wood
WM4259,9/16 BLACK RIVER,1.67,3.00,3.76, 3/8 , 9/16,Wood
WM4260,9/16 WHITE RIVER,1.67,3.00,3.76, 3/8 , 9/16,Wood
WM4261,9/16 LIGHT BLUE GOLD CHAGALL,3.08,5.09,6.36, 3/8 , 9/16,Wood
WM4262,9/16 GREY GOLD CHAGALL,3.08,5.09,6.36, 3/8 , 9/16,Wood
WM4263,9/16 DARK BLUE GOLD CHAGALL,3.08,5.09,6.36, 3/8 , 9/16,Wood
WM4264,9/16 WHITE GOLD CHAGALL,3.08,5.09,6.36, 3/8 , 9/16,Wood
WM4265,9/16 SILVER OPERA,3.37,6.06,7.58, 3/8 , 9/16,Wood
WM4266,9/16 BLACK GOLD OPERA,3.37,6.06,7.58, 3/8 , 9/16,Wood
WM4267,9/16 WHITE GOLD OPERA,3.37,6.06,7.58, 3/8 , 9/16,Wood
WM4268,9/16 GOLD OPERA,3.37,6.06,7.58, 3/8 , 9/16,Wood
WM4269,1 9/16 BLACK GOLD W/GOLD LIP,7.46,12.79,15.91, 3/8 ,1  9/16,Wood
WM4270,5/8 RIPPLED DARK GOLD W/BLACK,4.64,8.13,10.15, 1/2 , 5/8 ,Wood
WM4271,5/8 RIPPLED DARK GOLD W/WHITE,4.64,8.13,10.15, 1/2 , 5/8 ,Wood
WM4272,5/8 RIPPLED DARK GOLD W/BLUE,4.64,8.13,10.15, 1/2 , 5/8 ,Wood
WM4273,5/8 RIPPLED DARK GOLD W/GREEN,4.64,8.13,10.15, 1/2 , 5/8 ,Wood
WM4275,1/2 SILVER BAMBOO,2.89,5.20,6.50, 1/2 , 1/2 ,Wood
WM4276,1/2 GOLD BAMBOO,2.89,5.20,6.50, 1/2 , 1/2 ,Wood
WM4277,1/2 BLACK BAMBOO,3.14,5.49,7.14, 1/2 , 1/2 ,Wood
WM4278,1/2 NATURAL BAMBOO,3.14,5.49,7.14, 1/2 , 1/2 ,Wood
WM4279,13/16 DARK GRAY LANDSCAPE,3.13,5.64,7.05,15/16,13/16,Wood
WM4280,13/16 BLUE LANDSCAPE,3.13,5.64,7.05,15/16,13/16,Wood
WM4281,13/16 LIGHT BLUE LANDSCAPE,3.13,5.64,7.05,15/16,13/16,Wood
WM4282,13/16 FOREST GREEN LANDSCAPE,3.13,5.64,7.05,15/16,13/16,Wood
WM4283,13/16 OLIVE GREEN LANDSCAPE,3.13,5.64,7.05,15/16,13/16,Wood
WM4284,13/16 RED LANDSCAPE,3.13,5.64,7.05,15/16,13/16,Wood
WM4285,13/16 YELLOW LANDSCAPE,3.13,5.64,7.05,15/16,13/16,Wood
WM4286,13/16 WALNUT LANDSCAPE,3.13,5.64,7.05,15/16,13/16,Wood
WM4287,1 3/4 RIPPLED DARK GOLD,8.68,14.98,18.65, 1/2 ,1  3/4 ,Wood
WM4288,1 3/4 RIPPLED DARK SILVER,8.68,14.98,18.65, 1/2 ,1  3/4 ,Wood
WM4289,1 5/16 GREEN SABI,5.15,9.27,11.59, 5/8 ,1  5/16,Wood
WM4290,13/16 GREEN SABI,5.15,9.27,11.59,1,13/16,Wood
1605-50,3/4 FLAT DARK WALNUT WOOD CUB,3.19,5.74,7.18, 1/2 , 3/4 ,Wood
1605-55,3/4 FLAT LIGHT WALNUT WOOD CUB,3.19,5.74,7.18, 1/2 , 3/4 ,Wood
1605-60,3/4 FLAT OLIVE WOOD CUBE,3.19,5.74,7.18, 1/2 , 3/4 ,Wood
1605-65,3/4 FLAT OAK WOOD CUBE,3.19,5.74,7.18, 1/2 , 3/4 ,Wood
1605-70,3/4 FLAT AYOUS WOOD CUBE,3.19,5.74,7.18, 1/2 , 3/4 ,Wood
2400-40,3/4 WHITE NO GESSO(SUB WM3165),1.81,3.26,4.07, 5/8 , 3/4 ,Wood
2400-65,1 1/4 BLACK FLAT NO GESSO,2.37,4.27,5.34, 5/8 ,1  1/4 ,Wood
2400-95,2 BLACK FLAT NO GESSO,3.51,6.32,7.90, 1/2 ,2,Wood
2410-80,1 3/4 FLAT BLACK W/NOTCHED LIP,3.01,5.42,6.78, 1/2 ,1  3/4 ,Wood
2415-60,1 1/4 BLACK FLAT NO GESSO,1.93,3.48,4.35, 1/2 ,1  1/4 ,Wood
2415-95,1 BLACK FLAT NO GESSO,1.65,2.97,3.71, 1/2 ,1,Wood
2420-35,1 BLACK SHADOWBOX 2 1/4 HIGH,4.03,7.25,9.06,2,1,Wood
2420-50,1 3/8 BLACK FLAT NO GESSO,2.71,4.88,6.10, 3/4 ,1  3/8 ,Wood
2435-60,3/4 X 1 1/2 NATURAL STAIN CAP,2.83,5.09,6.36,1  1/4 ,1  1/2 ,Wood
2435-90,3/4  NATURAL STAIN CAP,1.74,3.13,3.91, 3/4 , 3/4 ,Wood
2440-45,1 1/4 NATURAL STAIN FLAT,1.93,3.47,4.34, 1/2 , 3/4 ,Wood
2505-30,3/4 BLACK BURL SMALL CUBE,3.23,5.81,7.26, 3/8 , 3/4 ,Wood
2505-35,3/4 DARK WALNUT BURL SMALL CUB,3.23,5.81,7.26, 3/8 , 3/4 ,Wood
2505-40,3/4 LIGHT WALNUT BURL SMALL CU,3.23,5.81,7.26, 3/8 , 3/4 ,Wood
2505-45,3/4 MAPLE BURL SMALL CUBE,3.23,5.81,7.26, 3/8 , 3/4 ,Wood
2505-50,3/4 MAHOGANY BURL SMALL CUBE,3.23,5.81,7.26, 3/8 , 3/4 ,Wood
2505-55,1 BLACK BURL SLOPE,5.08,9.14,11.43, 3/8 ,1,Wood
2505-60,1 BLACK BURL SLOPE,5.08,9.14,11.43, 3/8 ,1,Wood
2505-65,1 LIGHT WALNUT BURL SLOPE,5.08,9.14,11.43, 3/8 ,1,Wood
2505-70,1 MAPLE BURL SLOPE,5.08,9.14,11.43, 3/8 ,1,Wood
2505-75,1 MAHOGANY BURL SLOPE,5.08,9.14,11.43, 3/8 ,1,Wood
300-150,1 5/8 SLOPE BLACK W/BEADED LIP,3.68,6.62,8.28, 1/2 ,1  5/8 ,Wood
300-155,2 SLOPE W/BEADED LIP,4.11,7.40,9.25, 1/2 ,2,Wood
300-440,1 3/8 SLOPE BLACK W/BEADED LIP,2.46,4.43,5.54, 1/2 ,1  3/8 ,Wood
300-450,1 ROUND BLACK,1.65,2.97,3.71, 3/8 ,1,Wood
300-605,1 SLOPE BLACK W/GOLD LIP RED,2.67,4.81,6.01, 3/8 ,1,Wood
300-885,7/8 FLAT BLACK SHADOW BOX,2.28,4.10,5.13,1  1/8 , 7/8 ,Wood
300-890,1 FLAT GOLD W/BROWN BEAD,2.09,3.76,4.70, 3/8 ,1,Wood
300-975,1 FLAT BLACK,1.97,3.55,4.44, 1/2 ,1,Wood
300-985,1 3/8 ROUND MAHOGANY SHADOWBOX,5.07,9.13,11.41,1  1/2 ,1  3/8 ,Wood
305-190,1 FLAT GOLD W/ORN BEADED LIP,2.04,3.67,4.59, 3/8 ,1,Wood
305-40,2 1/8 GOLD FLAT PANEL,5.49,9.88,12.35, 1/2 ,2  1/8 ,Wood
305-45,2 1/8 SCOOP SILVER FLAT PANEL,5.49,9.88,12.35, 1/2 ,2  1/8 ,Wood
305-510,2 BLACK W/ROPE,4.00,7.20,9.00, 1/2 ,2,Wood
305-555,1 3/8 SCOOP BLK W/ORN & BEADED,2.92,5.26,6.58, 3/8 ,1  3/8 ,Wood
310-535,1 1/4 OFF WHITE DISTRESSED PAN,3.27,5.89,7.36, 1/2 ,1  1/4 ,Wood
310-540,1 1/4 WEATHERED GREY DISTRESSE,3.27,5.89,7.36, 1/2 ,1  1/4 ,Wood
310-545,1 1/4 SAGE GREEN DISTRESSED,3.27,5.89,7.36, 1/2 ,1  1/4 ,Wood
310-550,1 1/4 BLUE DISTRESSED PANEL,3.27,5.89,7.36, 1/2 ,1  1/4 ,Wood
310-555,5/8 BLUE DISTRESSED CUBE,2.16,3.89,4.86,5/8, 5/8 ,Wood
310-560,5/8 WEATHERED GREY DISTRESSED,2.16,3.89,4.86,5/8, 5/8 ,Wood
310-565,5/8 SAGE GREEN DISTRESSED CUBE,2.16,3.89,4.86,5/8, 5/8 ,Wood
310-570,5/8 OFF WHITE DISTRESSED CUBE,2.16,3.89,4.86,5/8, 5/8 ,Wood
310-705,3/8  GOLD METALLIC FLOATER,6.43,11.57,14.46,1 3/4, 3/8 ,Wood
