Item #,Description,Line                   Name,Size Decimal,Rabbet Decimal, cost , Chop , Join , Sugg. Retail , AC 
520408,SPARTA GOLD RAKU DEEP CAP,Raku,0.7500,1, $ 14.06 , $ 23.07 , $ 28.38 , $ 60.70 ,
520409,COBALT BLUE RAKU DEEP CAP,Raku,0.7500,1, $ 14.06 , $ 23.07 , $ 28.38 , $ 60.70 ,
520410,COPPER RED RAKU DEEP CAP,Raku,0.7500,1, $ 14.06 , $ 23.07 , $ 28.38 , $ 60.70 ,
520411,COPPER FLAME RAKU BLOCK,Raku,1.1875,.6875, $ 14.47 , $ 23.75 , $ 29.12 , $ 62.40 ,
520412,FELDSPAR GREEN RAKU BLOCK,Raku,1.1875,.6875, $ 14.47 , $ 23.75 , $ 29.12 , $ 62.40 ,
520413,SPARTA GOLD RAKU BLOCK,Raku,1.1875,.6875, $ 14.47 , $ 23.75 , $ 29.12 , $ 62.40 ,
520414,COBALT BLUE RAKU BLOCK,Raku,1.1875,.6875, $ 14.47 , $ 23.75 , $ 29.12 , $ 62.40 ,
520415,COPPER RED RAKU BLOCK,Raku,1.1875,.6875, $ 14.47 , $ 23.75 , $ 29.12 , $ 62.40 ,
520416,TINY COPPER FLAME RAKU ,Raku,0.5625,.5, $ 8.14 , $ 13.48 , $ 17.83 , $ 36.70 ,
520417,TINY FELDSPAR GREEN RAKU ,Raku,0.5625,.5, $ 8.14 , $ 13.48 , $ 17.83 , $ 36.70 ,
520418,TINY SPARTA GOLD RAKU ,Raku,0.5625,.5, $ 8.14 , $ 13.48 , $ 17.83 , $ 36.70 ,
520419,TINY COBALT BLUE RAKU ,Raku,0.5625,.5, $ 8.14 , $ 13.48 , $ 17.83 , $ 36.70 ,
520420,TINY COPPER RED RAKU ,Raku,0.5625,.5, $ 8.14 , $ 13.48 , $ 17.83 , $ 36.70 ,
520451,CELESTINE BLUE FILIGREE,Bernini,2.0000,0.5000, $ 21.35 , $ 34.88 , $ 41.37 , $ 90.20 ,
