item,description,cost,Chop,join,WIDTH,rabbet,group
35359,ST KOTA FLOATER  BLACK,7.96,12.50,15.14,1  3/4 ,2  5/8 ,Wood
36120,SIERRA FLOATER WALNUT,4.42,7.86,10.03,1  5/8 ,1  1/4 ,Wood
36124,SIERRA FLOATER PECAN,4.42,7.86,10.03,1  5/8 ,1  1/4 ,Wood
36127,SIERRA FLOATER BUFF,4.42,7.86,10.03,1  5/8 ,1  1/4 ,Wood
36145,SIERRA FLOATER GRAY ,4.42,7.86,10.03,1  5/8 ,1  1/4 ,Wood
36158,SIERRA FLOATER BEIGE ,4.42,7.86,10.03,1  5/8 ,1  1/4 ,Wood
36220,SIERRA FLOATER WALNUT ,6.60,10.54,13.00,1  3/4 ,2,Wood
36224,SIERRA FLOATER PECAN ,6.60,10.54,13.00,1  3/4 ,2,Wood
36227,SIERRA FLOATER BUFF ,6.60,10.54,13.00,1  3/4 ,2,Wood
36245,SIERRA FLOATER GRAY ,6.60,10.54,13.00,1  3/4 ,2,Wood
36258,SIERRA FLOATER BEIGE ,6.60,10.54,13.00,1  3/4 ,2,Wood
36320,SIERRA WALNUT,4.42,7.86,10.03,1,1,Wood
36324,SIERRA PECAN,4.42,7.86,10.03,1,1,Wood
36327,SIERRA BUFF ,4.42,7.86,10.03,1,1,Wood
36345,SIERRA GRAY,4.42,7.86,10.03,1,1,Wood
36358,SIERRA BEIGE,4.42,7.86,10.03,1,1,Wood
36420,SIERRA III WALNUT ,2.33,4.70,6.35, 3/4 ,3/4,Wood
36424,SIERRA III PECAN ,2.33,4.70,6.35, 3/4 ,3/4,Wood
36427,SIERRA III BUFF,2.33,4.70,6.35, 3/4 ,3/4,Wood
36445,SIERRA III GRAY ,2.33,4.70,6.35, 3/4 ,3/4,Wood
36458,SIERRA III BEIGE ,2.33,4.70,6.35, 3/4 ,3/4,Wood
36520,SIERRA III WALNUT ,4.35,7.77,9.92,13/16,1  5/16,Wood
36524,SIERRA III PECAN ,4.35,7.77,9.92,13/16,1  5/16,Wood
36527,SIERRA III BUFF,4.35,7.77,9.92,13/16,1  5/16,Wood
36545,SIERRA III GRAY,4.35,7.77,9.92,13/16,1  5/16,Wood
36558,SIERRA III BEIGE,4.35,7.77,9.92,13/16,1  5/16,Wood
36620,SIERRA WALNUT,6.26,10.04,12.46,1  9/16,1  1/16,Wood
36624,SIERRA PECAN ,6.26,10.04,12.46,1  9/16,1  1/16,Wood
36627,SIERRA BUFF ,6.26,10.04,12.46,1  9/16,1  1/16,Wood
36645,SIERRA GRAY,6.26,10.04,12.46,1  9/16,1  1/16,Wood
36658,SIERRA BEIGE ,6.26,10.04,12.46,1  9/16,1  1/16,Wood
36720,SIERRA II WALNUT,4.95,8.51,10.76,1,1  5/16,Wood
36724,SIERRA II PECAN ,4.95,8.51,10.76,1,1  5/16,Wood
36727,SIERRA II BUFF,4.95,8.51,10.76,1,1  5/16,Wood
36745,SIERRA II GRAY,4.95,8.51,10.76,1,1  5/16,Wood
36758,SIERRA II BEIGE ,4.95,8.51,10.76,1,1  5/16,Wood
36820,SIERRA II WALNUT,7.19,11.40,13.94,1  9/16,1  1/4 ,Wood
36824,SIERRA II PECAN ,7.19,11.40,13.94,1  9/16,1  1/4 ,Wood
36827,SIERRA II BUFF ,7.19,11.40,13.94,1  9/16,1  1/4 ,Wood
36845,SIERRA II GRAY,7.19,11.40,13.94,1  9/16,1  1/4 ,Wood
36858,SIERRA II BEIGE ,7.19,11.40,13.94,1  9/16,1  1/4 ,Wood
37010,HARMONY SAND,5.31,8.91,11.21,1,1  3/8 ,Wood
37024,HARMONY PECAN ,5.31,8.91,11.21,1,1  3/8 ,Wood
37043,HARMONY COFFEE ,5.31,8.91,11.21,1,1  3/8 ,Wood
37110,HARMONY SAND,8.17,12.79,15.46,1  9/16,1  1/2 ,Wood
37124,HARMONY PECAN ,8.17,12.79,15.46,1  9/16,1  1/2 ,Wood
37143,HARMONY COFFEE ,8.17,12.79,15.46,1  9/16,1  1/2 ,Wood
38029,BEECH NATURAL ,4.89,8.44,10.68,1  3/8 ,13/16,Wood
38058,BEECH WHITEWASH ,4.89,8.44,10.68,1  3/8 ,13/16,Wood
38129,BEECH NATURAL,5.71,9.32,11.67,1  3/4 ,13/16,Wood
38158,BEECH WHITEWASH,5.71,9.32,11.67,1  3/4 ,13/16,Wood
38229,BEECH NATURAL ,4.82,8.36,10.59, 3/4 ,1  1/2 ,Wood
38258,BEECH WHITEWASH ,4.82,8.36,10.59, 3/4 ,1  1/2 ,Wood
38329,BEECH NATURAL FLOATER ,6.33,10.15,12.57,1  1/2 ,2,Wood
38358,BEECH WHITEWASH FLOATER,6.33,10.15,12.57,1  1/2 ,2,Wood
39128,ST WALNUT,5.48,9.09,11.41,1  3/16, 3/4 ,Wood
39228,ST WALNUT,7.99,12.54,15.18,2,1,Wood
39328,ST WALNUT,7.36,11.64,14.20,1,1  3/4 ,Wood
39428,ST WALNUT,9.44,14.57,17.41,1  9/16,1  5/8 ,Wood
39528,ST WALNUT,10.80,16.55,19.55,1  1/2 ,2  1/4 ,Wood
40140,AEGIS GOLD ,4.38,7.81,9.97,1  1/8 , 13/16,Wood
40150,AEGIS SILVER ,4.38,7.81,9.97,1  1/8 , 13/16,Wood
40240,AEGIS GOLD ,6.61,10.56,13.02,2, 13/16,Wood
40812,REGIA DARK GOLD ,5.73,9.34,11.69,1  1/2 ,1,Wood
40814,REGIA DARK SILVER ,5.73,9.34,11.69,1  1/2 ,1,Wood
40822,REGIA GOLD ,5.73,9.34,11.69,1  1/2 ,1,Wood
40824,REGIA SILVER ,5.73,9.34,11.69,1  1/2 ,1,Wood
40912,REGIA DARK ,4.06,7.39,9.49,1, 7/8 ,Wood
40914,REGIA DARK SILVER ,4.06,7.39,9.49,1, 7/8 ,Wood
40922,REGIA GOLD ,4.06,7.39,9.49,1, 7/8 ,Wood
40924,REGIA SILVER ,4.06,7.39,9.49,1, 7/8 ,Wood
41012,REGIA DARK GOLD ,4.19,7.56,9.68, 3/4 ,1,Wood
41014,REGIA DARK SILVER ,4.19,7.56,9.68, 3/4 ,1,Wood
41022,REGIA GOLD,4.19,7.56,9.68, 3/4 ,1,Wood
41024,REGIA SILVER ,4.19,7.56,9.68, 3/4 ,1,Wood
41481,PLACER GOLD ,4.93,8.48,10.74,1,1  1/4 ,Wood
41491,PLACER SILVER ,4.93,8.48,10.74,1,1  1/4 ,Wood
41581,PLACER GOLD ,5.29,8.89,11.19,1  1/2 ,7/8,Wood
41591,PLACER SILVER ,5.29,8.89,11.19,1  1/2 ,7/8,Wood
41681,PLACER GOLD ,7.06,11.21,13.73,2,1,Wood
41691,PLACER SILVER ,7.06,11.21,13.73,2,1,Wood
41803,PLATA SMOKEY GREEN,4.13,7.48,9.59,1,7/8,Wood
42001,POMPEYA GREEN,9.95,15.30,18.21,1  3/8 ,1  5/8 ,Wood
42002,POMPEYA ANTIQUE GOLD,9.95,15.30,18.21,1  3/8 ,1  5/8 ,Wood
42003,POMPEYA DEEP ROSE GOLD,9.95,15.30,18.21,1  3/8 ,1  5/8 ,Wood
42004,POMPEYA SILVER,9.95,15.30,18.21,1  3/8 ,1  5/8 ,Wood
42005,POMPEYA BLACK,9.95,15.30,18.21,1  3/8 ,1  5/8 ,Wood
43021,ARRAY EBONY BROWN ,4.83,8.37,10.60,1 31/99,1  5/16,Wood
43121,ARRAY EBONY BROWN ,5.40,9.01,11.32,1 74/91,1,Wood
43139,ARRAY SILVER ,5.78,9.39,11.74,1 74/91,1,Wood
43239,ARRAY SILVER ,7.66,12.07,14.67,2  1/2 ,1,Wood
44140,ARIA II GOLD,6.37,10.21,12.64,1  3/4 ,1  1/4 ,Wood
44150,ARIA II SILVER ,6.37,10.21,12.64,1  3/4 ,1  1/4 ,Wood
44240,ARIA II GOLD ,8.68,13.49,16.23,2  1/2 ,1  3/8 ,Wood
44250,ARIA II SILVER,8.68,13.49,16.23,2  1/2 ,1  3/8 ,Wood
44708,ASTI SOFT GOLD ,5.30,8.90,11.20,1,1  7/8 ,Wood
44709,ASTI SOFT SILVER ,5.30,8.90,11.20,1,1  7/8 ,Wood
44722,VIRTU GOLD,4.30,7.71,9.85,1,1  1/8 ,Wood
44732,VIRTU SILVER,4.30,7.71,9.85,1,1  1/8 ,Wood
44822,VIRTU GOLD ,10.83,16.60,19.60,3  1/4 ,1  5/8 ,Wood
44832,VIRTU SILVER ,10.83,16.60,19.60,3  1/4 ,1  5/8 ,Wood
45622,VIRTU GOLD ,5.33,8.93,11.23,1  9/16,1,Wood
45632,VIRTU SILVER ,5.33,8.93,11.23,1  9/16,1,Wood
45722,VIRTU GOLD,6.91,10.99,13.50,2  1/16,1  1/8 ,Wood
45732,VIRTU SILVER ,6.91,10.99,13.50,2  1/16,1  1/8 ,Wood
45822,VIRTU GOLD,8.32,13.00,15.68,2  1/2 ,1  1/4 ,Wood
