Code,Description,Width,rabbet,category,Cost,chop,group
0004AS,28x19mm Raw Ash Cushion Moulding,28,12,Natural,6.86,13.71,Wood
0005LI,23x27mm Raw Lime Flat Moulding,23,22,Natural,6.73,13.46,Wood
0005TU,22x27mm Raw Tulip Flat Moulding,22,22,Natural,5.96,11.93,Wood
0010TU,22x47mm Raw Tulip Flat Moulding,22,40,Natural,8.37,16.74,Wood
0011AS,21x17mm Raw Ash Flat Moulding,21,12,Natural,4.49,8.99,Wood
0011OA,21x17mm Raw Oak Flat Moulding,21,12,Natural,4.66,9.32,Wood
0011OB,21x17mm Raw Obeche Flat Moulding,21,12,Natural,2.38,4.77,Wood
0011WA,21x17mm Raw Walnut Flat Moulding,21,12,Brown,6.32,12.63,Wood
0013LI,41x21mm Raw Lime Flat Moulding,41,14,Natural,10.19,20.37,Wood
0014AS,59x21mm Raw Ash Flat Moulding,56,14,Natural,9.92,19.85,Wood
0014OA,56x22mm Raw Oak Flat Moulding,56,14,Natural,11.15,22.3,Wood
0015CM,21x20mm Cream Bevel Moulding,21,10,Cream,4.81,9.62,Wood
0018OA,51x16mm Raw Oak Flat Moulding,51,12,Natural,11.58,23.16,Wood
0021OB,67x35mm Raw Obeche Scoop Moulding,67,12,Natural,9.36,18.71,Wood
0029OB,91x33mm Raw Obeche Step Moulding,91,13,Natural,13.43,26.86,Wood
0031OB,55x25mm Raw Obeche Step Moulding,55,10,Natural,6.55,13.1,Wood
0037OB,22x47mm Raw Obeche Flat Moulding,22,39,Natural,5.04,10.08,Wood
0040AS,34x21mm Raw Ash Flat Moulding,34,16,Natural,7.89,15.77,Wood
0040OA,34x21mm Raw Oak Flat Moulding,34,16,Natural,8.31,16.61,Wood
0040OB,34x21mm Raw Obeche Flat Moulding,34,16,Natural,3.82,7.64,Wood
0044PI,39x12mm Raw Pine Flat Moulding,39,7,Natural,3.51,7.01,Wood
0045OB,93x41mm Raw Obeche Step/Scoop Moulding,93,22,Natural,14.11,28.22,Wood
0046BK,46x47mm Matt Black Block Moulding,46,37,Black,9.45,18.9,Wood
0046WH,46x47mm Matt White Block Moulding,46,37,White,9.45,18.9,Wood
0047OB,77x34mm Raw Obeche Step/Scoop Moulding,77,17,Natural,10.36,20.73,Wood
0056LI,12x24mm Raw Lime Flat Moulding,12,20,Natural,5.33,10.67,Wood
0057LI,12x12mm Raw Lime Flat Moulding,12,7,Natural,4.38,8.76,Wood
0061RA,11x4mm Raw Ramin Slip Moulding,11,,Natural,2.76,5.52,Wood
0066AS,15x31mm Raw Ash Flat Moulding,15,27,Natural,6.36,12.73,Wood
0066OA,15x31mm Raw Oak Flat Moulding,15,27,Natural,7.9,15.79,Wood
0066OB,15x31mm Raw Obeche Flat Moulding,15,27,Natural,3.18,6.36,Wood
0066TU,15x31mm Raw Tulip Flat Moulding,15,27,Natural,6.71,13.42,Wood
0066WA,15x31mm Raw Walnut Flat Moulding,15,27,Brown,8.84,17.68,Wood
0073SI,16x15mm Antique Silver Scoop Moulding,16,8,Silver,4.84,9.68,Wood
0084OB,14x21mm Raw Obeche Bevel Moulding,14,10,Natural,2.82,5.65,Wood
0086OA,20x22mm Raw Oak Cushion Moulding,20,11,Natural,5.62,11.24,Wood
0092OA,12x12mm Raw Oak Cushion Moulding,12,8,Natural,3.53,7.06,Wood
0097OA,47x22mm Raw Oak Flat Moulding,47,17,Natural,10.28,20.56,Wood
0097OB,47x22mm Raw Obeche Flat Moulding,47,17,Natural,6.02,12.03,Wood
0099AS,20x20mm Raw Ash Flat Moulding,20,15,Natural,4.58,9.16,Wood
0099OA,20x20mm Raw Oak Flat Moulding,20,15,Natural,4.97,9.93,Wood
0100AS,12x12mm Raw AshFlat Moulding,12,9,Natural,3.43,6.87,Wood
0100OA,12x12mm Raw Oak Flat Moulding,12,9,Natural,3.43,6.87,Wood
0100OB,12x12mm Raw Obeche Flat Moulding,12,9,Natural,1.75,3.51,Wood
0100WG,25x17mm Walnut & Gold Scoop Moulding,25,9,Brown,5.73,11.47,Wood
0101OB,25x32mm Raw Obeche Bevel Moulding,25,26,Natural,4.85,9.7,Wood
0102AS,16x21mm Raw Ash Cushion Moulding,16,16,Natural,4.53,9.05,Wood
0120OB,20x15mm Raw Obeche Bevel Moulding,20,9,Natural,2.68,5.36,Wood
0124OB,33x20mm Raw Obeche Bevel Moulding,33,13,Natural,4.66,9.32,Wood
0130OB,20x20mm Raw Obeche Flat Moulding,20,15,Natural,3.3,6.59,Wood
0136OB,68x20mm Raw Obeche Step Moulding,68,12,Natural,7.36,14.72,Wood
0140OB,25x22mm Raw Obeche Bevel Moulding,25,12,Natural,2.87,5.73,Wood
0150OB,24x20mm Raw Obeche Bevel Moulding,24,9,Natural,3.11,6.22,Wood
0152BK,10x12mm Black Flat Moulding,10,9,Black,5.27,10.54,Wood
0152WH,10x12mm White Flat Moulding,10,9,White,5.27,10.54,Wood
0160GD,20x18mm Gold Scoop Moulding,20,14,Gold,12.1,24.19,Wood
0160OB,70x20mm Raw Obeche Cushion Moulding,70,12,Natural,7.07,14.13,Wood
0160SI,20x18mm Silver Scoop Moulding,20,14,Silver,12.1,24.19,Wood
0161BK,12x21mm Gloss Black Monochrome Box Moulding,12,15,Black,7.97,15.94,Wood
0161WH,12x21mm Gloss White Monochrome Box Moulding,12,15,White,7.97,15.94,Wood
0162BK,15x30mm Gloss Black Monochrome Box Moulding,15,23,Black,9.66,19.32,Wood
0162WH,15x30mm Gloss White Monochrome Box Moulding,15,23,White,9.66,19.32,Wood
0163BK,19x35mm Gloss Black Monochrome Bevel Moulding,19,20,Black,10.25,20.5,Wood
0163WH,19x35mm Gloss White Monochrome Bevel Moulding,19,20,White,10.25,20.5,Wood
0164BK,39x52mm Gloss Black Monochrome Box Moulding,39,43,Black,17.34,34.67,Wood
0164WH,39x52mm Gloss White Monochrome Box Moulding,39,43,White,17.34,34.67,Wood
0170OB,35x16mm Raw Obeche Bevel Moulding,35,10,Natural,3.63,7.27,Wood
0171GN,15x17mm Neon Green Vegas Flat Moulding,15,13,Green,3.34,6.68,Wood
0171OR,15x17mm Neon Orange Vegas Flat Moulding,15,13,Orange,3.34,6.68,Wood
0171PK,15x17mm Neon Pink Vegas Flat Moulding,15,13,Pink,3.34,6.68,Wood
0171RD,15x17mm Neon Red Vegas Flat Moulding,15,13,Red,3.34,6.68,Wood
0171YW,15x17mm Neon Yellow Vegas Flat Moulding,15,13,Yellow,3.34,6.68,Wood
0174OB,16x6mm Raw Obeche Slip Moulding,16,0,Natural,1.25,2.5,Wood
0180OB,19x6mm Raw Obeche Slip Moulding,19,,Natural,1.55,3.11,Wood
0181GD,14x13mm Gold Flat Moulding,14,9,Gold,6.09,12.18,Wood
0181SI,14x13mm Silver Flat Moulding,14,9,Silver,6.09,12.18,Wood
0190OB,75x33mm Raw Obeche Step Moulding,75,20,Natural,10.43,20.85,Wood
0193BK,15x20mm Antique Black Kassel Box Moulding - FSC,15,15,Black,5.48,10.96,Wood
0193BR,15x20mm Antique Bronze Kassel Box Moulding - FSC,15,15,Bronze,5.48,10.96,Wood
0193GD,15x20mm Antique Gold Kassel Box Moulding - FSC,15,15,Gold,5.48,10.96,Wood
0193PT,15x20mm Antique Pewter Kassel Box Moulding - FSC,15,15,Pewter,5.48,10.96,Wood
0193SI,15x20mm Antique Silver Kassel Box Moulding - FSC,15,15,Silver,5.48,10.96,Wood
0194BK,20x35mm Antique Black Kassel Box Moulding,20,31,Black,6.57,13.15,Wood
0194BR,20x35mm Antique Bronze Kassel Box Moulding,20,31,Bronze,6.57,13.15,Wood
0194GD,20x35mm Antique Gold Kassel Box Moulding,20,31,Gold,6.57,13.15,Wood
0194PT,20x35mm Antique Pewter Kassel Box Moulding,20,31,Pewter,6.57,13.15,Wood
0194SI,20x35mm Antique Silver Kassel Box Moulding,20,31,Silver,6.57,13.15,Wood
0195GD,10x32mm Gold and Black Kassel L-shape Moulding,10,,Gold,9.9,19.8,Wood
0195SI,10x32mm Silver and Black Kassel L-shape Moulding,10,,Silver,9.9,19.8,Wood
0196GD,16x52mm Gold and Black Kassel L-shape Moulding,16,,Gold,11.97,23.94,Wood
0196SI,16x52mm Silver and Black Kassel L-shape Moulding,16,,Silver,11.97,23.94,Wood
0201GD,21x13mm Gold Flat Moulding,21,9,Gold,7.31,14.62,Wood
0201SI,21x13mm Silver Flat Moulding,21,9,Silver,7.31,14.62,Wood
0203AP,44x18mm Antique Pine Scoop Moulding,44,8,Natural,6.07,12.15,Wood
0203PN,59x21mm Raw Pine Flat Moulding,59,15,Natural,7.37,14.74,Wood
0219BK,20x15mm Black Bevel Moulding,20,9,Black,2.58,5.17,Wood
0219WH,20x15mm White Bevel Moulding,20,9,White,2.58,5.17,Wood
0221OB,70x23mm Raw Obeche Flat Moulding,70,61,Natural,9.28,18.56,Wood
0225OV,21x22mm Oak Veneer Flat Moulding,21,17,Brown,5.49,10.98,Wood
0250OB,27x31mm Raw Obeche Cushion Moulding,27,22,Natural,4.23,8.46,Wood
0251WH,27x17mm Whitewash Bevel Moulding,27,10,White,5.39,10.77,Wood
0260OB,38x34mm Raw Obeche Cushion Moulding,38,26,Natural,6.85,13.69,Wood
0270BK,15x15mm Black Cushion Moulding,15,8,Black,2.21,4.41,Wood
0270OB,18x12mm Raw Obeche Cushion Moulding,18,7,Natural,2.29,4.58,Wood
0275WG,20x14mm Walnut & Gold Step Moulding,20,7,Brown,4.19,8.37,Wood
0285OB,60x39mm Raw Obeche Step Moulding,60,14,Natural,11.75,23.5,Wood
0290OB,40x35mm Raw Obeche L-shape Moulding,40,10,Natural,6.53,13.06,Wood
0341BK,15x12mm Black Ashford Flat Moulding,15,9,Black,4.16,8.32,Wood
0342BK,20x13mm Black Ashford Flat Moulding,20,9,Black,4.33,8.65,Wood
0342GY,20x13mm Grey Ashford Flat Moulding,20,9,Grey,4.33,8.65,Wood
0342PG,20x13mm Pale Grey Ashford Flat Moulding,20,9,Grey,4.33,8.65,Wood
0342WA,20x13mm Walnut Ashford Flat Moulding,20,9,Brown,4.33,8.65,Wood
0342WH,20x13mm White Ashford Flat Moulding,20,9,White,4.33,8.65,Wood
0344BK,30x13mm Black Ashford Flat Moulding,30,8,Black,5.63,11.26,Wood
0344GY,30x13mm Grey Ashford Flat Moulding,30,8,Grey,5.63,11.26,Wood
0344PG,30x13mm Pale Grey Ashford Flat Moulding,30,8,Grey,5.63,11.26,Wood
0344WA,30x13mm Walnut Ashford Flat Moulding,30,8,Brown,5.63,11.26,Wood
0344WH,30x13mm White Ashford Flat Moulding,30,8,White,5.63,11.26,Wood
0345BK,20x33mm Black Ashford Flat Moulding,20,29,Black,7.75,15.5,Wood
0345GY,20x33mm Grey Ashford Flat Moulding,20,29,Grey,7.75,15.5,Wood
0345PG,20x33mm Pale Grey Ashford Flat Moulding,20,29,Grey,7.75,15.5,Wood
0345WA,20x33mm Walnut Ashford Flat Moulding,20,29,Brown,7.75,15.5,Wood
0345WH,20x33mm White Ashford Flat Moulding,20,29,White,7.75,15.5,Wood
0348BK,54x20mm Black Ashford Flat Moulding,54,14,Black,10.13,20.27,Wood
0348GY,54x20mm Grey Ashford Flat Moulding,54,14,Grey,10.13,20.27,Wood
0348PG,54x20mm Pale Grey Ashford Flat Moulding,54,14,Grey,10.13,20.27,Wood
0348WA,54x20mm Walnut Ashford Flat Moulding,54,14,Brown,10.13,20.27,Wood
0348WH,54x20mm White Ashford Flat Moulding,54,14,White,10.13,20.27,Wood
0349BK,40x38mm Black Ashford Flat Moulding,40,27,Black,12.62,25.24,Wood
0349GY,40x38mm Grey Ashford Flat Moulding,40,27,Grey,12.62,25.24,Wood
0349PG,40x38mm Pale Grey Ashford Flat Moulding,40,27,Grey,12.62,25.24,Wood
0349WA,40x38mm Walnut Ashford Flat Moulding,40,27,Brown,12.62,25.24,Wood
0349WH,40x38mm White Ashford Flat Moulding,40,27,White,12.62,25.24,Wood
0370BK,22x13mm Black Cushion Moulding,22,9,Black,2.58,5.17,Wood
0375WG,25x17mm Walnut & Gold Step Moulding,25,7,Brown,5.52,11.05,Wood
0400BK,30x15mm Black Cushion Moulding,30,9,Black,5.82,11.63,Wood
0402BK,13x10mm Black Cushion Moulding,13,7,Black,1.82,3.63,Wood
0403BK,20x14mm Black Cushion Moulding,20,8,Black,3.42,6.85,Wood
0410BK,42x20mm Black Step Moulding,42,13,Black,10.69,21.38,Wood
0410BN,42x20mm Brown Step Moulding,42,13,Brown,10.69,21.38,Wood
0410GY,42x20mm Grey Step Moulding,42,13,Grey,10.69,21.38,Wood
0410WH,42x20mm White Step Moulding,42,13,White,10.69,21.38,Wood
0451GY,DISCONTINUED - 20x18mm Dark Grey Amberley Scoop Moulding,20,8,Grey,3.19,6.38,Wood
0451LB,20x18mm Light Brown Amberley Scoop Moulding,20,8,Brown,3.19,6.38,Wood
0451WH,20x18mm White Amberley Scoop Moulding,20,8,White,3.19,6.38,Wood
0452BK,30x20mm Black Amberley Scoop Moulding,30,10,Black,4.24,8.48,Wood
0452LB,30x20mm Light Brown Amberley Scoop Moulding,30,10,Brown,4.24,8.48,Wood
0452PG,DISCONTINUED - 30x20mm Pale Grey Amberley Scoop Moulding,30,10,Grey,4.24,8.48,Wood
0452WH,30x20mm White Amberley Scoop Moulding,30,10,White,4.24,8.48,Wood
0453GY,52x35mm Dark Grey Amberley Scoop Moulding,52,14,Grey,8.49,16.99,Wood
0453PG,52x35mm Pale Grey Amberley Scoop Moulding,52,14,Grey,8.49,16.99,Wood
0453WH,52x35mm White Amberley Scoop Moulding,52,14,White,8.49,16.99,Wood
0471BK,30x25mm Black Casterbridge Step Moulding,30,12,Black,4.11,8.21,Wood
0471CM,30x25mm Cream Casterbridge Step Moulding,30,12,Cream,4.11,8.21,Wood
0471DB,30x25mm Dark Brown Casterbridge Step Moulding,30,12,Brown,4.11,8.21,Wood
0471GY,30x25mm Dark Grey Casterbridge Step Moulding,30,12,Grey,4.11,8.21,Wood
0471LB,30x25mm Light Brown Casterbridge Step Moulding,30,12,Brown,4.11,8.21,Wood
0471PG,30x25mm Pale Grey Casterbridge Step Moulding,30,12,Grey,4.11,8.21,Wood
0471WH,30x25mm White Casterbridge Step Moulding,30,12,White,4.11,8.21,Wood
0472BK,52x35mm Black Casterbridge Step Moulding,52,14,Black,8.06,16.13,Wood
0472CM,52x35mm Cream Casterbridge Step Moulding,52,14,Cream,8.06,16.13,Wood
0472DB,52x35mm Dark Brown Casterbridge Step Moulding,52,14,Brown,8.06,16.13,Wood
0472GY,52x35mm Dark Grey Casterbridge Step Moulding,52,14,Grey,8.06,16.13,Wood
0472LB,52x35mm Light Brown Casterbridge Step Moulding,52,14,Brown,8.06,16.13,Wood
0472PG,52x35mm Pale Grey Casterbridge Step Moulding,52,14,Grey,8.06,16.13,Wood
0472WH,52x35mm White Casterbridge Step Moulding,52,14,White,8.06,16.13,Wood
0473BK,84x40mm Black Casterbridge Step Moulding,84,17,Black,11.38,22.76,Wood
0473GY,84x40mm Dark Grey Casterbridge Step Moulding,84,17,Grey,11.38,22.76,Wood
0473IV,84x40mm Ivory Casterbridge Step Moulding,84,17,Cream,11.38,22.76,Wood
0473PG,84x40mm Pale Grey Casterbridge Step Moulding,84,17,Grey,11.38,22.76,Wood
0473WH,84x40mm White Casterbridge Step Moulding,84,17,White,11.38,22.76,Wood
0475WG,35x17mm Walnut & Gold Step Moulding,35,7,Brown,6.02,12.03,Wood
0505OB,84x28mm Raw Obeche Flat Moulding,84,13,Natural,15.73,31.46,Wood
0511WH,20x20mm White Flat Moulding,20,16,White,3.89,7.77,Wood
0512WH,35x35mm White Flat Moulding,35,30,White,8.59,17.17,Wood
0516GY,39x39mm Grey Flat Moulding,39,38,Grey,8.79,17.58,Wood
0519BK,37x22mm Matt Black Scoop Moulding,37,9,Black,4.38,8.76,Wood
0519WH,37x22mm Matt White Scoop Moulding,37,9,White,4.38,8.76,Wood
0520WH,20x16mm Whitewash Flat Moulding,20,12,White,4.78,9.56,Wood
0529BK,33x17mm Matt Black Bevel Moulding,34,9,Black,3.74,7.48,Wood
0529WH,34x17mm Matt White Bevel Moulding,34,9,White,3.74,7.48,Wood
0530OB,44x32mm Raw Obeche Scoop Moulding,44,9,Natural,7.98,15.96,Wood
0539OB,56x43mm Raw Obeche L-shape Moulding,56,15,Natural,11.13,22.26,Wood
0545OV,26x20mm Oak Veneer Flat Moulding,26,15,Brown,5.86,11.72,Wood
0546OV,41x20mm Oak Veneer Flat Moulding,41,13,Brown,8.42,16.84,Wood
0547OV,63x20mm Oak Veneer Flat Moulding,63,13,Brown,11.03,22.05,Wood
0548BK,5x48mm Black Fillet Moulding,5,,Black,2.78,5.57,Fillet
0548WH,5x48mm White Fillet Moulding,5,,White,2.78,5.57,Fillet
0560WH,30x16mm Whitewash Flat Moulding,30,11,White,5.7,11.4,Wood
0590OB,20x44mm Raw Obeche Flat Moulding,20,40,Natural,5.91,11.82,Wood
0595OB,24x52mm Raw Obeche Flat Moulding,24,42,Natural,6.24,12.47,Wood
0606OB,89x29mm Raw Obeche Step Moulding,89,13,Natural,9.86,19.72,Wood
0610OB,20x30mm Whitewash Flat Moulding,20,28,White,5.53,11.07,Wood
0663WV,40x14mm Gloss Walnut Veneer Flat Moulding,40,10,Brown,14.36,28.73,Wood
0667WV,20x14mm Gloss Walnut Veneer Flat Moulding,20,9,Brown,8.48,16.97,Wood
0669WV,30x14mm Gloss Walnut Veneer Flat Moulding,30,10,Brown,9.3,18.61,Wood
0693WV,15x14mm Gloss Walnut Veneer Flat Moulding,15,10,Brown,6.01,12.01,Wood
0711BK,29x20mm Black/Silver Lip Burnham Step Moulding,29,10,Black,3.86,7.73,Wood
0711GY,29x20mm Dark Grey/Silver Lip Burnham Step Moulding,29,10,Grey,3.86,7.73,Wood
0711MA,29x20mm Maroon/Silver Lip Burnham Step Moulding,29,10,Red,3.86,7.73,Wood
0711PG,29x20mm Pale Grey/Silver Lip Burnham Step Moulding,29,10,Grey,3.86,7.73,Wood
0712BK,49x30mm Black/Silver Lip Burnham Step Moulding,49,15,Black,7.83,15.67,Wood
0712GY,49x30mm Dark Grey/Silver Lip Burnham Step Moulding,49,15,Grey,7.83,15.67,Wood
0712MA,49x30mm Maroon/Silver Lip Burnham Step Moulding,49,15,Red,7.83,15.67,Wood
0712PG,49x30mm Pale Grey/Silver Lip Burnham Step Moulding,49,15,Grey,7.83,15.67,Wood
0712WH,49x30mm White/Silver Lip Burnham Step Moulding,49,15,White,7.83,15.67,Wood
0715OB,15x25mm Raw Obeche Flat Moulding,15,21,Natural,2.46,4.91,Wood
0809BK,30x18mm Black Bevel Moulding,30,10,Black,7.83,15.67,Wood
0809WH,30x18mm White Bevel Moulding,30,10,White,7.83,15.67,Wood
0811BK,10x34mm Black L-shape Moulding,10,25,Black,8.01,16.02,Wood
0811WH,10x34mm White L-shape Moulding,10,25,White,8.01,16.02,Wood
0817OB,74x29mm Raw Obeche Bevel Moulding,74,13,Natural,12.43,24.86,Wood
0873OV,18x20mm Oak Veneer Flat Moulding,18,16,Brown,4.84,9.68,Wood
0989OV,20x32mm Oak Veneer Flat Moulding,20,29,Brown,7.23,14.47,Wood
1006BK,20x33mm Black Flat Moulding,20,27,Black,7.5,14.99,Wood
1006OA,20x33mm Oak Flat Moulding,20,27,Brown,7.5,14.99,Wood
1006WH,20x33mm White Flat Moulding,20,27,White,7.5,14.99,Wood
1007BK,34x22mm Black Flat Moulding,34,17,Black,5.13,17.22,Wood
1007OA,34x22mm Oak Flat Moulding,34,17,Brown,8.85,17.7,Wood
1007WH,34x22mm White Flat Moulding,34,17,White,5.13,17.22,Wood
1008BK,18x20mm Black Flat Moulding,18,14,Black,2.83,11.26,Wood
1008OA,18x20mm Oak Flat Moulding,18,14,Brown,5.84,11.68,Wood
1008WH,18x20mm White Flat Moulding,18,14,White,2.83,11.26,Wood
1020BE,10x20mm Beech Veneer Maiella Flat Moulding,10,15,Brown,4.28,8.57,Wood
1020MA,10x20mm Maple Veneer Maiella Flat Moulding,10,15,Brown,4.95,9.89,Wood
1020OA,10x20mm Oak Veneer Maiella Flat Moulding,10,15,Brown,4.28,8.57,Wood
1020WA,10x20mm Walnut Veneer Maiella Flat Moulding,10,15,Brown,4.95,9.89,Wood
1020WE,10x20mm Wenge Veneer Maiella Flat Moulding,10,15,Brown,4.95,9.89,Wood
1025BK,10x25mm Matt Black Flat Moulding,10,20,Black,5.13,10.27,Wood
1025WH,10x25mm Matt White Flat Moulding,10,20,White,5.13,10.27,Wood
1030AS,10x30mm Raw Ash Box Moulding,10,25,Brown,3.65,7.31,Wood
1030OA,10x30mm Raw Oak Box Moulding,10,25,Natural,3.41,6.83,Wood
1030TU,10x30mm Raw Tulip Box Moulding,10,25,Natural,2.92,5.84,Wood
1032WG,65x33mm Walnut & Gold Step Moulding,65,25,Brown,11.93,23.86,Wood
1047BR,10x20mm Bronze Brooklyn Box Moulding,10,15,Bronze,4.26,8.52,Wood
1047GD,10x20mm Gold Brooklyn Box Moulding,10,15,Gold,4.26,8.52,Wood
1047PT,10x20mm Pewter Brooklyn Box Moulding,10,15,Pewter,4.26,8.52,Wood
1047SI,10x20mm Silver Brooklyn Box Moulding,10,15,Silver,4.26,8.52,Wood
1048BR,15x30mm Bronze Brooklyn Box Moulding,15,25,Bronze,5.06,10.12,Wood
1048GD,15x30mm Gold Brooklyn Box Moulding,15,25,Gold,5.06,10.12,Wood
1048PT,15x30mm Pewter Brooklyn Box Moulding,15,25,Pewter,5.06,10.12,Wood
1048SI,15x30mm Silver Brooklyn Box Moulding,15,25,Silver,5.06,10.12,Wood
1049BR,20x20mm Bronze Brooklyn Box Moulding,20,15,Bronze,4.82,9.63,Wood
1049GD,20x20mm Gold Brooklyn Box Moulding,20,15,Gold,4.82,9.63,Wood
1049PT,20x20mm Pewter Brooklyn Box Moulding,20,15,Pewter,4.82,9.63,Wood
1049SI,20x20mm Silver Brooklyn Box Moulding,20,15,Silver,4.82,9.63,Wood
1062CH,20x20mm Charcoal Iron Vecchio Block Moulding,20,15,Black,5.54,11.09,Wood
1062GD,20x20mm Gold Iron Vecchio Block Moulding,20,15,Gold,5.54,11.09,Wood
1062PT,20x20mm Pewter Iron Vecchio Block Moulding,20,15,Pewter,5.54,11.09,Wood
1063CH,15x30mm Charcoal Iron Vecchio Box Moulding,15,26,Black,5.94,11.88,Wood
1063GD,15x30mm Gold Iron Vecchio Box Moulding,15,26,Gold,5.94,11.88,Wood
1063PT,15x30mm Pewter Iron Vecchio Box Moulding,15,26,Pewter,5.94,11.88,Wood
1064CH,20x38mm Charcoal Iron Vecchio Box Moulding,20,34,Black,7.02,14.04,Wood
1064GD,20x38mm Gold Iron Vecchio Box Moulding,20,34,Gold,7.02,14.04,Wood
1064PT,20x38mm Pewter Iron Vecchio Box Moulding,20,34,Pewter,7.02,14.04,Wood
1065CH,30x30mm Charcoal Iron Vecchio Block Moulding,30,25,Black,7.33,14.66,Wood
1065GD,30x30mm Gold Iron Vecchio Block Moulding,30,25,Gold,7.33,14.66,Wood
1065PT,30x30mm Pewter Iron Vecchio Block Moulding,30,25,Pewter,7.33,14.66,Wood
1081BK,15x30mm Wenge New York Flat Moulding,15,25,Black,5.91,11.81,Wood
1081GD,15x30mm Antique Gold New York Flat Moulding,15,25,Gold,5.91,11.81,Wood
1081SI,15x30mm Antique Silver New York Flat Moulding,15,25,Silver,5.91,11.81,Wood
1082BK,20x20mm Wenge New York Flat Moulding,20,15,Black,5.6,11.19,Wood
1082GD,20x20mm Antique Gold New York Flat Moulding,20,15,Gold,5.6,11.19,Wood
1082SI,20x20mm Antique Silver New York Flat Moulding,20,15,Silver,5.6,11.19,Wood
1083BK,20x38mm Wenge New York Flat Moulding,20,34,Black,7.81,15.62,Wood
1083GD,20x38mm Antique Gold New York Flat Moulding,20,34,Gold,7.81,15.62,Wood
1083SI,20x38mm Antique Silver New York Flat Moulding,20,34,Silver,7.81,15.62,Wood
1084BK,38x20mm Wenge New York Flat Moulding,38,15,Black,8.55,17.1,Wood
1084GD,38x20mm Antique Gold New York Flat Moulding,38,15,Gold,8.55,17.1,Wood
1084SI,38x20mm Antique Silver New York Flat Moulding,38,15,Silver,8.55,17.1,Wood
1120BK,15x20mm Open Grain Black Hoxton Hockey Moulding,15,12,Black,2.15,4.31,Wood
1120OA,15x20mm Oak Veneer Hoxton Hockey Moulding,15,12,Brown,3.78,7.56,Wood
1120WA,15x20mm Walnut Veneer Hoxton Hockey Moulding,15,12,Brown,3.78,7.56,Wood
1120WH,15x20mm Open Grain White Hockey Hoxton Moulding,15,12,White,2.15,4.31,Wood
1121BK,20x30mm Open Grain Black Hoxton Hockey Moulding,20,21,Black,3.05,6.09,Wood
1121OA,20x30mm Oak Veneer Hoxton Hockey Moulding,20,21,Brown,5.16,10.31,Wood
1121WA,20x30mm Walnut Veneer Hoxton Hockey Moulding,20,21,Brown,5.16,10.31,Wood
1121WH,20x30mm Open Grain White Hoxton Hockey Moulding,20,21,White,3.05,6.09,Wood
1141MB,15x15mm Matt Black Lyndhurst Flat Moulding,15,10,Black,4.27,8.55,Wood
1141MW,15x15mm Matt White Lyndhurst Flat Moulding,15,10,White,4.27,8.55,Wood
1141SA,15x15mm Natural Lyndhurst Flat Moulding,15,10,Brown,4.36,8.72,Wood
1141WE,15x15mm Wenge Lyndhurst Flat Moulding,15,10,Brown,4.36,8.72,Wood
1142MB,20x15mm Matt Black Lyndhurst Flat Moulding,20,10,Black,5.26,10.52,Wood
1142MW,20x13mm Matt White Lyndhurst Flat Moulding,20,10,White,5.26,10.52,Wood
1142SA,20x13mm Natural Lyndhurst Flat Moulding,20,10,Brown,5.27,10.54,Wood
1142WA,20x15mm Walnut Lyndhurst Flat Moulding,20,10,Brown,5.26,10.52,Wood
1142WE,20x15mm Wenge Lyndhurst Flat Moulding,20,10,Brown,5.26,10.52,Wood
1144MB,30x15mm Matt Black Lyndhurst Flat Moulding,30,11,Black,6.75,13.5,Wood
1144MW,30x13mm Matt White Lyndhurst Flat Moulding,30,11,White,7.63,15.27,Wood
1144SA,30x15mm Natural Lyndhurst Flat Moulding,30,11,Brown,6.75,13.5,Wood
1144WA,30x15mm Walnut Lyndhurst Flat Moulding,30,11,Brown,6.75,13.5,Wood
1144WE,30x15mm Wenge Lyndhurst Flat Moulding,30,11,Brown,6.75,13.5,Wood
1146MB,40x15mm Matt Black Lyndhurst Flat Moulding,40,9,Black,8.59,17.18,Wood
1146SA,40x15mm Natural Lyndhurst Flat Moulding,40,9,Brown,8.94,17.87,Wood
1146WE,40x15mm Wenge Lyndhurst Flat Moulding,40,9,Brown,8.94,17.87,Wood
1146WH,40x15mm White Lyndhurst Flat Moulding,40,9,White,10.23,20.45,Wood
1156WH,40x18mm Whitewash Flat Moulding,40,13,White,6.59,13.19,Wood
1170GD,15x15mm Gold Flat Moulding,15,10,Gold,4.01,8.02,Wood
1170SI,15x15mm Antique Silver Flat Moulding,15,10,Silver,4.01,8.02,Wood
1180GD,25x15mm Antique Gold Flat Moulding,25,11,Gold,4.75,9.5,Wood
1180SI,25x15mm Antique Silver Flat Moulding,25,11,Silver,4.75,9.5,Wood
1190BK,20x20mm Black Oak Foil Flat Moulding,20,15,Black,2.95,5.9,Wood
1190WH,20x20mm White Oak Foil Flat Moulding,20,15,White,2.95,5.9,Wood
1191BK,30x30mm Black Oak Foil Flat Moulding,30,24,Black,4.74,9.48,Wood
1191WH,30x30mm White Oak Foil Flat Moulding,30,24,White,4.74,9.48,Wood
1192BK,15x30mm Black Oak Foil Flat Moulding,15,25,Black,3.25,6.5,Wood
1192WH,15x30mm White Oak Foil Flat Moulding,15,25,White,3.25,6.5,Wood
