Code,Description,Width,rabbet,category,Cost,chop,group
7225DR,20x25mm Distressed Dark Red Spello Beaded Moulding,20,15,Red,4.66,9.32,Wood
7225GD,20x25mm Distressed Gold Spello Beaded Moulding,20,15,Gold,4.66,9.32,Wood
7225GN,20x25mm Distressed Olive Green Spello Beaded Moulding,20,15,Green,4.66,9.32,Wood
7225MD,20x25mm Distressed Midnight Blue Spello Beaded Moulding,20,15,Blue,4.66,9.32,Wood
7225PG,20x25mm Distressed Pale Grey Spello Beaded Moulding,20,15,Grey,4.66,9.32,Wood
7225PK,20x25mm Distressed Pink Spello Beaded Moulding,20,15,Pink,4.66,9.32,Wood
7225RD,20x25mm Distressed Red Spello Beaded Moulding,20,15,Red,4.66,9.32,Wood
7225SB,20x25mm Distressed Sky Blue Spello Beaded Moulding,20,15,Blue,4.66,9.32,Wood
7225WH,20x25mm Distressed White Spello Beaded Moulding,20,15,White,4.66,9.32,Wood
7225YW,20x25mm Distressed Yellow Spello Beaded Moulding,20,15,Yellow,4.66,9.32,Wood
7558BK,45x58mm Black Open Grain L-shape Moulding,45,,Black,15.16,30.32,Wood
7560BG,22x22mm Black & Gold Scoop Moulding FSC,22,11,Black,6.97,13.94,Wood
7560BS,22x22mm Black & Silver Scoop Moulding FSC,22,11,Black,6.97,13.94,Wood
7560GD,22x22mm Gold Scoop Moulding FSC,22,11,Gold,6.97,13.94,Wood
7560PT,22x22mm Pewter Scoop Moulding FSC,22,11,Pewter,6.97,13.94,Wood
7560SI,22x22mm Silver Scoop Moulding FSC,22,11,Silver,6.97,13.94,Wood
7560WH,22x22mm White Scoop Moulding FSC,22,11,White,6.97,13.94,Wood
7580BK,20x20mm Rustic Black Madeira Cube Moulding,20,16,Black,5.67,11.34,Wood
7580BN,20x20mm Rustic Brown Madeira Cube Moulding,20,16,Brown,5.67,11.34,Wood
7580BU,20x20mm Rustic Blue Madeira Cube Moulding,20,16,Blue,5.67,11.34,Wood
7580CM,20x20mm Rustic Cream Madeira Cube Moulding,20,16,Cream,5.67,11.34,Wood
7580GN,20x20mm Rustic Green Madeira Cube Moulding,20,16,Green,5.67,11.34,Wood
7580GY,20x20mm Rustic Grey Madeira Cube Moulding,20,16,Grey,5.67,11.34,Wood
7580RD,20x20mm Rustic Red Madeira Cube Moulding,20,16,Red,5.67,11.34,Wood
7580WH,20x20mm Rustic White Madeira Cube Moulding,20,16,White,5.67,11.34,Wood
7581BK,25x35mm Rustic Black Madeira Box Moulding,25,29,Black,7.93,15.86,Wood
7581BN,25x35mm Rustic Brown Madeira Box Moulding,25,29,Brown,7.93,15.86,Wood
7581BU,25x35mm Rustic Blue Madeira Box Moulding,25,29,Blue,7.93,15.86,Wood
7581CM,25x35mm Rustic Cream Madeira Box Moulding,25,29,Cream,7.93,15.86,Wood
7581GN,25x35mm Rustic Green Madeira Box Moulding,25,29,Green,7.93,15.86,Wood
7581GY,25x35mm Rustic Grey Madeira Box Moulding,25,29,Grey,7.93,15.86,Wood
7581RD,25x35mm Rustic Red Madeira Box Moulding,25,29,Red,7.93,15.86,Wood
7581WH,25x35mm Rustic White Madeira Box Moulding,25,29,White,7.93,15.86,Wood
7677BK,73x33mm Black Reverse Moulding,73,20,Black,15.31,30.62,Wood
7677OB,71x34mm Raw Obeche Reverse Moulding,71,20,Natural,9.02,18.04,Wood
7701BK,70x30mm Black LUXE Trastevere Scoop Moulding,70,16,Black,18.54,37.09,Wood
7702BN,70x30mm Bronze LUXE Trastevere Scoop Moulding,70,16,Bronze,18.54,37.09,Wood
7703GD,70x30mm Gold LUXE Trastevere Scoop Moulding,70,16,Gold,18.54,37.09,Wood
7711BK,40x20mm Black LUXE Trastevere Scoop Moulding,40,11,Black,12.98,25.96,Wood
7712BN,40x20mm Bronze LUXE Trastevere Scoop Moulding,40,11,Bronze,12.98,25.96,Wood
7713GD,40x20mm Gold LUXE Trastevere Scoop Moulding,40,11,Gold,12.98,25.96,Wood
7721BK,30x16mm Black LUXE Trastevere Scoop Moulding,30,9,Black,10.33,20.66,Wood
7722BN,30x16mm Bronze LUXE Trastevere Scoop Moulding,30,9,Bronze,10.33,20.66,Wood
7723GD,30x16mm Gold LUXE Trastevere Scoop Moulding,30,9,Gold,10.33,20.66,Wood
7830BK,30x39mm Black Fenton Scoop Box Moulding,30,25,Black,11.48,22.95,Wood
7830BU,30x39mm Blue Fenton Scoop Box Moulding,30,25,Blue,11.48,22.95,Wood
7830GD,30x39mm Gold Fenton Scoop Box Moulding,30,25,Gold,11.48,22.95,Wood
7830GN,30x39mm Green Fenton Scoop Box Moulding,30,25,Green,11.48,22.95,Wood
7830RD,30x39mm Red Fenton Scoop Box Moulding,30,25,Red,11.48,22.95,Wood
7830SI,30x39mm Silver Fenton Scoop Box Moulding,30,25,Silver,11.48,22.95,Wood
7840BK,40x35mm Antique Black and Gold Chatsworth Scoop Moulding,40,15,,10.85,21.7,Wood
7840GD,40x35mm Antique Gold Chatsworth Scoop Moulding,40,15,,10.85,21.7,Wood
7840SI,40x35mm Antique Silver Chatsworth Scoop Moulding,40,15,,10.85,21.7,Wood
7840WH,40x35mm Antique White Chatsworth Scoop Moulding,40,15,,10.85,21.7,Wood
7841BK,60x36mm Antique Black and Gold Chatsworth Scoop Moulding,60,16,,15.42,30.84,Wood
7841GD,60x36mm Antique Gold Chatsworth Scoop Moulding,60,16,,15.42,30.84,Wood
7841SI,60x36mm Antique Silver Chatsworth Scoop Moulding,60,16,,15.42,30.84,Wood
7841WH,60x36mm Antique White Chatsworth Scoop Moulding,60,16,,15.42,30.84,Wood
7946GY,39x14mm Grey Flat Moulding,39,10,Grey,6.05,12.1,Wood
8016GN,35x30mm Green Southsea Stepped Box Moulding,35,24,Green,8.62,17.24,Wood
8017BU,27x20mm Blue Southsea Step Moulding,27,17,Blue,6.69,13.38,Wood
8017CM,27x20mm Cream Southsea Step Moulding,27,17,Cream,6.69,13.38,Wood
8017GN,27x20mm Green Southsea Step Moulding,27,17,Green,6.69,13.38,Wood
8017GY,27x20mm Grey Southsea Step Moulding,27,17,Grey,6.69,13.38,Wood
8017WH,27x20mm White Southsea Step Moulding,27,17,White,6.69,13.38,Wood
8018BU,44x21mm Blue Southsea Step Moulding,44,17,Blue,9.38,18.75,Wood
8018CM,44x21mm Cream Southsea Step Moulding,44,17,Cream,9.38,18.75,Wood
8018GN,44x21mm Green Southsea Step Moulding,44,17,Green,9.38,18.75,Wood
8018GY,44x21mm Grey Southsea Step Moulding,44,17,Grey,9.38,18.75,Wood
8018WH,44x21mm White Southsea Step Moulding,44,17,White,9.38,18.75,Wood
8019BU,63x23mm Blue Southsea Step Moulding,63,12,Blue,10.9,21.8,Wood
8019CM,63x23mm Cream Southsea Step Moulding,63,12,Cream,10.9,21.8,Wood
8019GN,63x23mm Green Southsea Step Moulding,63,12,Green,10.9,21.8,Wood
8019GY,63x23mm Grey Southsea Step Moulding,63,12,Grey,10.9,21.8,Wood
8019WH,63x23mm White Southsea Step Moulding,63,12,White,10.9,21.8,Wood
8053BG,49x34mm Black & Gold Open Grain LUXE Wentworth Scoop Moulding,49,17,Black,9.62,19.24,Wood
8053BK,49x34mm Black Open Grain LUXE Wentworth Scoop Moulding,49,17,Black,9,18,Wood
8053BS,49x34mm Black & Silver Open Grain LUXE Wentworth Scoop Moulding,49,17,Black,9.62,19.24,Wood
