ITEM,DESC,WIDTH,UM,UPC,LISTPRICE,CHOPPRICE,JOINPRICE,CLASS,BOXQTY,BOXPRICE,ISFILLET,ISCUTMAT,ISMATBOARD
N11720,"ANODIC BLACK 7/16""",0.4375,FT,87828473988,6.89,8.82,0,Frame Moulding,120,6.89,N,N,N
N117201,"MAROON  7/16""",0.4375,FT,NULL,4.86,7.26,0,Frame Moulding,0,4.86,N,N,N
N117202,"TIGER ORANGE  7/16""",0.4375,FT,NULL,4.86,7.26,0,Frame Moulding,0,4.86,N,N,N
N117203,"SUNSHINE  7/16""",0.4375,FT,NULL,4.86,7.26,0,Frame Moulding,0,4.86,N,N,N
N117204,"KELLY GREEN   7/16""",0.4375,FT,NULL,4.86,7.26,0,Frame Moulding,0,4.86,N,N,N
N117205,"FOREST GREEN    7/16""",0.4375,FT,NULL,4.87,7.26,0,Frame Moulding,0,4.87,N,N,N
N117206,"AQUA    7/16""",0.4375,FT,NULL,4.86,7.26,0,Frame Moulding,0,4.86,N,N,N
N117207,"BRIGHT BLUE    7/16""",0.4375,FT,NULL,4.87,7.26,0,Frame Moulding,0,4.87,N,N,N
N117208,"ROYAL PURPLE    7/16""",0.4375,FT,NULL,4.69,7.26,0,Frame Moulding,0,4.69,N,N,N
N11721,"MATTE BLACK 7/16""",0.4375,FT,720472169578,5.91,8.82,0,Frame Moulding,120,5.91,N,N,N
N117227,"TORNADO RED 7/16""",0.4375,FT,720472169103,7.19,9.23,0,Frame Moulding,120,7.19,N,N,N
N11723,"ANTIQUE GOLD 7/16""",0.4375,FT,87828523713,5.22,7.78,0,Frame Moulding,120,5.22,N,N,N
N117230,"REFLEX SILVER 7/16""",0.4375,FT,720472169189,8.26,10.75,0,Frame Moulding,120,8.26,N,N,N
N117231,VIVIDS GOLD BULLION,0.4375,FT,720472169127,8.27,10.62,0,Frame Moulding,120,8.27,N,N,N
N117232,"GALACTIC BLUE 7/16""",0.4375,FT,720472169073,8.27,10.74,0,Frame Moulding,120,8.27,N,N,N
N117233,"PURPLE HAZE 7/16""",0.4375,FT,720472169080,7.41,9.63,0,Frame Moulding,120,7.41,N,N,N
N117235,VIVIDS TANGERINE TWIST,0.4375,FT,720472169110,7.56,9.7,0,Frame Moulding,120,7.56,N,N,N
N117236,"CYBER GREEN 7/16""",0.4375,FT,720472169134,7.56,9.7,0,Frame Moulding,120,7.56,N,N,N
N117237,VIVIDS RASPBERRY FIZZ,0.4375,FT,87828174748,7.56,9.7,0,Frame Moulding,120,7.56,N,N,N
N117238,VIVIDS TURQUOISE,0.4375,FT,720472169059,7.56,9.7,0,Frame Moulding,120,7.56,N,N,N
N117240,VIVIDS AMETHYST,0.4375,FT,720472169097,7.19,9.23,0,Frame Moulding,120,7.19,N,N,N
N117270,"BURNT SIENNA 7/16""",0.4375,FT,87828903928,6.78,8.63,0,Frame Moulding,120,6.78,N,N,N
N117280,"American Natural 7/16""",0.4375,FT,87828040395,7.25,10.15,0,Frame Moulding,120,7.25,N,N,N
N117400,"SATIN BRUSHED ALUMINUM 7/16""",0.4375,FT,720472169592,7.08,9.35,0,Frame Moulding,120,7.08,N,N,N
N117470,BRUSHED SATIN NICKEL,0.4375,FT,87828514957,6.97,9.96,0,Frame Moulding,120,6.97,N,N,N
N117478,BRUSHED SATIN PEWTER,0.4375,FT,87828954739,6.98,9.96,0,Frame Moulding,120,6.98,N,N,N
N11750,"BLACK 7/16""",0.4375,FT,87828413281,6.25,7.68,0,Frame Moulding,120,6.25,N,N,N
N11752,"BRIGHT WHITE 7/16""",0.4375,FT,87828103519,5.15,7.68,0,Frame Moulding,120,5.15,N,N,N
N11755,"RIGHT RED 7/16""",0.4375,FT,NULL,4.87,7.26,0,Frame Moulding,0,4.87,N,N,N
N11758,"INDIGO 7/16""",0.4375,FT,NULL,4.87,7.26,0,Frame Moulding,0,4.87,N,N,N
N1202,"FROSTED SILVER 9/32""",0.28125,FT,720472109062,6.08,7.77,0,Frame Moulding,160,6.08,N,N,N
N1221,"MATTE BLACK 9/32""",0.28125,FT,720472109222,5.76,7.34,0,Frame Moulding,160,5.76,N,N,N
N12901,"NIELSEN SILVER 5/16""",0.3125,FT,87828096866,4.5,6.83,0,Frame Moulding,120,4.5,N,N,N
N12907,"NIELSEN BRONZE 5/16""",0.3125,FT,87828065435,4.53,6.83,0,Frame Moulding,120,4.53,N,N,N
N12913,"NIELSEN CONTRAST GREY 5/16""",0.3125,FT,87828064872,4.53,6.83,0,Frame Moulding,120,4.53,N,N,N
N12915,"NIELSEN AMBER  5/16""",0.3125,FT,87828012576,4.53,6.83,0,Frame Moulding,120,4.53,N,N,N
N12920,"NIELSEN BLACK  5/16""",0.3125,FT,87828031744,4.53,6.83,0,Frame Moulding,120,4.53,N,N,N
N12921,"NIELSEN MATTE BLACK 5/16""",0.3125,FT,87828037517,4.36,6.66,0,Frame Moulding,120,4.36,N,N,N
N12952,"NIELSEN WHITE  5/16""",0.3125,FT,87828052015,4.53,6.83,0,Frame Moulding,120,4.53,N,N,N
N130400,NIELSEN BRUSHED SATIN ALUM 7/8,0.875,FT,87828082630,5.7,8.58,0,Frame Moulding,120,5.7,N,N,N
N130414,N-BRUSHED SATIN GERMAN SIL 7/8,0.875,FT,87828026733,5.7,8.58,0,Frame Moulding,120,5.7,N,N,N
N130475,"NIELSEN B-SATIN CHOCOLATE 7/8""",0.875,FT,87828059755,5.7,8.58,0,Frame Moulding,120,5.7,N,N,N
N13052,"NIELSEN BRIGHT WHITE 7/8""",0.875,FT,87828073805,5.7,8.58,0,Frame Moulding,120,5.7,N,N,N
N1314,FLOATERS GERMAN SILVER,0.25,FT,87828274271,7.75,9.71,0,Frame Moulding,90,7.75,N,N,N
N1321,FLOATERS MATTE BLACK,0.25,FT,87828204612,6.06,9.55,0,Frame Moulding,90,6.06,N,N,N
