Mldg #,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,Description,UPC
944M3,0.18,0,0,3.5,5.25,7.09,Wood,Dark Grey #944 Maple,
944M9,0.18,0,0,3.5,5.25,7.09,Wood,Wheat #944 Maple,
944OR,0.18,0,0,1.33,2,2.8,Wood,Raw #944 Oak,
944OF,0.18,0,0,2.98,4.47,6.03,Wood,Oil & Wax #944 Oak,
944OL,0.18,0,0,3.87,5.8,7.83,Wood,Clear Lacquer #944 Oak,
944WR,0.18,0,0,3.27,5.23,7.32,Wood,Raw #944 Walnut,
944WF,0.18,0,0,5.02,8.03,10.84,Wood,Oil & Wax #944 Walnut,
944WP,0.18,0,0,5.97,9.55,12.89,Wood,Padauk #944 Walnut,
944WB,0.18,0,0,5.97,9.55,12.89,Wood,Special Dark #944 Walnut,
944WE,0.18,0,0,5.57,8.91,12.03,Wood,Ebony #944 Walnut,
944WK,0.18,0,0,5.16,8.26,11.15,Wood,Satin Black #944 Walnut,
944W1,0.18,0,0,5.16,8.26,11.15,Wood,Light Grey #944 Walnut,
944W2,0.18,0,0,5.16,8.26,11.15,Wood,Medium Grey #944 Walnut,
944W3,0.18,0,0,5.16,8.26,11.15,Wood,Dark Grey #944 Walnut,
944VR,0.18,0,0,2.45,4.04,5.66,Wood,Raw #944 White Oak,
944VF,0.18,0,0,4.2,6.93,9.36,Wood,Oil & Wax #944 White Oak,
944VL,0.18,0,0,4.34,7.16,9.67,Wood,Clear Lacquer #944 White Oak,
944VC,0.18,0,0,5.15,8.5,11.48,Wood,Charcoal #944 White Oak,
944VM,0.18,0,0,5.15,8.5,11.48,Wood,Mission #944 White Oak,
944V7,0.18,0,0,5.15,8.5,11.48,Wood,Bleached #944 White Oak,
946AR,0.18,0,0,1.54,2.31,3.23,Wood,Raw #946 Ash,
946AF,0.18,0,0,3.19,4.78,6.45,Wood,Oil & Wax #946 Ash,
946AL,0.18,0,0,3.43,5.14,6.94,Wood,Clear Lacquer #946 Ash,
946AW,0.18,0,0,3.29,4.94,6.67,Wood,WhiteWash #946 Ash,
946AT,0.18,0,0,3.29,4.94,6.67,Wood,White #946 Ash,
946AK,0.18,0,0,3.29,4.94,6.67,Wood,Satin Black #946 Ash,
946AA,0.18,0,0,3.29,4.94,6.67,Wood,Warm White #946 Ash,
946AC,0.18,0,0,3.29,4.94,6.67,Wood,Charcoal #946 Ash,
946AI,0.18,0,0,3.29,4.94,6.67,Wood,Rising White #946 Ash,
946A1,0.18,0,0,3.29,4.94,6.67,Wood,Light Grey #946 Ash,
946A2,0.18,0,0,3.29,4.94,6.67,Wood,Medium Grey #946 Ash,
946A3,0.18,0,0,3.29,4.94,6.67,Wood,Dark Grey #946 Ash,
946BR,0.18,0,0,1.04,1.66,2.32,Wood,Raw #946 Basswood,
946BF,0.18,0,0,2.69,4.3,5.8,Wood,Oil & Wax #946 Basswood,
946CR,0.18,0,0,2.57,4.11,5.75,Wood,Raw #946 Cherry,
946CF,0.18,0,0,5.27,8.43,11.38,Wood,Oil & Wax #946 Cherry,
946CL,0.18,0,0,5.27,8.43,11.38,Wood,Clear Lacquer #946 Cherry,
946CG,0.18,0,0,5.27,8.43,11.38,Wood,Aged #946 Cherry,
946CQ,0.18,0,0,5.27,8.43,11.38,Wood,Antique #946 Cherry,
946CD,0.18,0,0,5.27,8.43,11.38,Wood,Black Cherry #946 Cherry,
946MR,0.18,0,0,2.24,3.36,4.7,Wood,Raw #946 Maple,
946MF,0.18,0,0,3.89,5.84,7.88,Wood,Oil & Wax #946 Maple,
946ML,0.18,0,0,4.13,6.2,8.37,Wood,Clear Lacquer #946 Maple,
946MW,0.18,0,0,4.54,6.81,9.19,Wood,WhiteWash #946 Maple,
946MT,0.18,0,0,4.13,6.2,8.37,Wood,White #946 Maple,
946MK,0.18,0,0,4.13,6.2,8.37,Wood,Satin Black #946 Maple,
946MA,0.18,0,0,4.13,6.2,8.37,Wood,Warm White #946 Maple,
946MI,0.18,0,0,4.13,6.2,8.37,Wood,Rising White #946 Maple,
946M1,0.18,0,0,4.13,6.2,8.37,Wood,Light Grey #946 Maple,
946M2,0.18,0,0,4.13,6.2,8.37,Wood,Medium Grey #946 Maple,
946M3,0.18,0,0,4.13,6.2,8.37,Wood,Dark Grey #946 Maple,
946M9,0.18,0,0,4.13,6.2,8.37,Wood,Wheat #946 Maple,
946OR,0.18,0,0,1.8,2.7,3.78,Wood,Raw #946 Oak,
946OF,0.18,0,0,3.45,5.18,6.99,Wood,Oil & Wax #946 Oak,
946OL,0.18,0,0,4.34,6.51,8.79,Wood,Clear Lacquer #946 Oak,
946WR,0.18,0,0,4.68,7.49,10.49,Wood,Raw #946 Walnut,
946WF,0.18,0,0,6.43,10.29,13.89,Wood,Oil & Wax #946 Walnut,
946WP,0.18,0,0,7.38,11.81,15.94,Wood,Padauk #946 Walnut,
946WB,0.18,0,0,7.38,11.81,15.94,Wood,Special Dark #946 Walnut,
946WE,0.18,0,0,6.98,11.17,15.08,Wood,Ebony #946 Walnut,
946WK,0.18,0,0,6.57,10.51,14.19,Wood,Satin Black #946 Walnut,
946W1,0.18,0,0,6.57,10.51,14.19,Wood,Light Grey #946 Walnut,
946W2,0.18,0,0,6.57,10.51,14.19,Wood,Medium Grey #946 Walnut,
946W3,0.18,0,0,6.57,10.51,14.19,Wood,Dark Grey #946 Walnut,
946VR,0.18,0,0,2.64,4.36,6.1,Wood,Raw #946 White Oak,
946VF,0.18,0,0,4.39,7.24,9.77,Wood,Oil & Wax #946 White Oak,
946VL,0.18,0,0,4.53,7.47,10.08,Wood,Clear Lacquer #946 White Oak,
946VC,0.18,0,0,5.34,8.81,11.89,Wood,Charcoal #946 White Oak,
946VM,0.18,0,0,5.34,8.81,11.89,Wood,Mission #946 White Oak,
946V7,0.18,0,0,5.34,8.81,11.89,Wood,Bleached #946 White Oak,
960-150BR,1.5,0,0,1.59,2.39,3.58,Wood,Raw #960-150 Basswood,
961-150BR,1.5,0,0,1.59,2.39,3.58,Wood,Raw #961-150 Basswood,
962-150BR,1.5,0,0,1.59,2.39,3.58,Wood,Raw #962-150 Basswood,
965-150BR,1.5,0,0,1.86,2.79,4.19,Wood,Raw #965-150 Basswood,
971-175BR,1.75,0,0,2.11,3.16,4.74,Wood,Raw #971-175 Basswood,
972-175BR,1.75,0,0,4.57,6.86,10.29,Wood,Raw #972-175 Basswood,
973-225BR,2.25,0,0,3.65,5.48,8.22,Wood,Raw #973-225 Basswood,
974-225BR,2.25,0,0,4.06,6.09,9.14,Wood,Raw #974-225 Basswood,
960-200BR,2,0,0,1.83,2.74,4.11,Wood,Raw #960-200 Basswood,
961-200BR,2,0,0,1.83,2.74,4.11,Wood,Raw #961-200 Basswood,
963-200BR,2,0,0,1.83,2.74,4.11,Wood,Raw #963-200 Basswood,
963-300BR,3,0,0,2.48,3.72,5.58,Wood,Raw #963-300 Basswood,
119AR,0.375,0.812,0.156,3,4.26,6.82,Wood,Raw #119 Ash,
FC-119AR,0.375,0.812,0.156,,,23.51,Wood,FC Raw #119 Ash,
119AF,0.375,0.812,0.156,6.26,8.89,12.45,Wood,Oil & Wax #119 Ash,
FC-119AF,0.375,0.812,0.156,,,24.2,Wood,FC Oil & Wax #119 Ash,
119AL,0.375,0.812,0.156,6.8,9.66,13.52,Wood,Clear Lacquer #119 Ash,
FC-119AL,0.375,0.812,0.156,,,24.2,Wood,FC Clear Lacquer #119 Ash,
119AW,0.375,0.812,0.156,8.7,12.35,17.29,Wood,WhiteWash #119 Ash,
FC-119AW,0.375,0.812,0.156,,,24.89,Wood,FC WhiteWash #119 Ash,
119AT,0.375,0.812,0.156,8.7,12.35,17.29,Wood,White #119 Ash,
FC-119AT,0.375,0.812,0.156,,,26.26,Wood,FC White #119 Ash,
119AK,0.375,0.812,0.156,8.7,12.35,17.29,Wood,Satin Black #119 Ash,
FC-119AK,0.375,0.812,0.156,,,26.26,Wood,FC Satin Black #119 Ash,
119AA,0.375,0.812,0.156,8.7,12.35,17.29,Wood,Warm White #119 Ash,
FC-119AA,0.375,0.812,0.156,,,26.26,Wood,FC Warm White #119 Ash,
119AC,0.375,0.812,0.156,8.7,12.35,17.29,Wood,Charcoal #119 Ash,
FC-119AC,0.375,0.812,0.156,,,26.26,Wood,FC Charcoal #119 Ash,
119AI,0.375,0.812,0.156,8.7,12.35,17.29,Wood,Rising White #119 Ash,
FC-119AI,0.375,0.812,0.156,,,26.26,Wood,FC Rising White #119 Ash,
119A1,0.375,0.812,0.156,8.7,12.35,17.29,Wood,Light Grey #119 Ash,
FC-119A1,0.375,0.812,0.156,,,26.26,Wood,FC Light Grey #119 Ash,
119A2,0.375,0.812,0.156,8.7,12.35,17.29,Wood,Medium Grey #119 Ash,
FC-119A2,0.375,0.812,0.156,,,26.26,Wood,FC Medium Grey #119 Ash,
119A3,0.375,0.812,0.156,8.7,12.35,17.29,Wood,Dark Grey #119 Ash,
FC-119A3,0.375,0.812,0.156,,,26.26,Wood,FC Dark Grey #119 Ash,
119CR,0.375,0.812,0.156,3.23,4.72,7.55,Wood,Raw #119 Cherry,
FC-119CR,0.375,0.812,0.156,,,23.97,Wood,FC Raw #119 Cherry,
119CF,0.375,0.812,0.156,6.76,9.87,13.82,Wood,Oil & Wax #119 Cherry,
FC-119CF,0.375,0.812,0.156,,,24.66,Wood,FC Oil & Wax #119 Cherry,
119CL,0.375,0.812,0.156,8.66,12.64,17.7,Wood,Clear Lacquer #119 Cherry,
FC-119CL,0.375,0.812,0.156,,,26.03,Wood,FC Clear Lacquer #119 Cherry,
119CG,0.375,0.812,0.156,8.66,12.64,17.7,Wood,Aged #119 Cherry,
FC-119CG,0.375,0.812,0.156,,,26.03,Wood,FC Aged #119 Cherry,
119CQ,0.375,0.812,0.156,8.66,12.64,17.7,Wood,Antique #119 Cherry,
FC-119CQ,0.375,0.812,0.156,,,26.03,Wood,FC Antique #119 Cherry,
119CD,0.375,0.812,0.156,8.66,12.64,17.7,Wood,Black Cherry #119 Cherry,
FC-119CD,0.375,0.812,0.156,,,26.72,Wood,FC Black Cherry #119 Cherry,
119MR,0.375,0.812,0.156,3.55,4.9,7.84,Wood,Raw #119 Maple,
FC-119MR,0.375,0.812,0.156,,,24.15,Wood,FC Raw #119 Maple,
119MF,0.375,0.812,0.156,6.81,9.4,13.16,Wood,Oil & Wax #119 Maple,
FC-119MF,0.375,0.812,0.156,,,24.84,Wood,FC Oil & Wax #119 Maple,
119ML,0.375,0.812,0.156,7.08,9.77,13.68,Wood,Clear Lacquer #119 Maple,
FC-119ML,0.375,0.812,0.156,,,24.84,Wood,FC Clear Lacquer #119 Maple,
119MW,0.375,0.812,0.156,8.14,11.23,15.72,Wood,WhiteWash #119 Maple,
FC-119MW,0.375,0.812,0.156,,,25.53,Wood,FC WhiteWash #119 Maple,
119MT,0.375,0.812,0.156,7.35,10.14,14.2,Wood,White #119 Maple,
FC-119MT,0.375,0.812,0.156,,,26.21,Wood,FC White #119 Maple,
119MK,0.375,0.812,0.156,7.35,10.14,14.2,Wood,Satin Black #119 Maple,
FC-119MK,0.375,0.812,0.156,,,26.21,Wood,FC Satin Black #119 Maple,
119MA,0.375,0.812,0.156,7.35,10.14,14.2,Wood,Warm White #119 Maple,
FC-119MA,0.375,0.812,0.156,,,26.21,Wood,FC Warm White #119 Maple,
119MI,0.375,0.812,0.156,7.35,10.14,14.2,Wood,Rising White #119 Maple,
FC-119MI,0.375,0.812,0.156,,,26.21,Wood,FC Rising White #119 Maple,
119M1,0.375,0.812,0.156,7.35,10.14,14.2,Wood,Light Grey #119 Maple,
FC-119M1,0.375,0.812,0.156,,,26.21,Wood,FC Light Grey #119 Maple,
119M2,0.375,0.812,0.156,7.35,10.14,14.2,Wood,Medium Grey #119 Maple,
FC-119M2,0.375,0.812,0.156,,,26.21,Wood,FC Medium Grey #119 Maple,
119M3,0.375,0.812,0.156,7.35,10.14,14.2,Wood,Dark Grey #119 Maple,
FC-119M3,0.375,0.812,0.156,,,26.21,Wood,FC Dark Grey #119 Maple,
119M9,0.375,0.812,0.156,7.35,10.14,14.2,Wood,Wheat #119 Maple,
FC-119M9,0.375,0.812,0.156,,,26.21,Wood,FC Wheat #119 Maple,
119WR,0.375,0.812,0.156,6.38,9.31,14.9,Wood,Raw #119 Walnut,
FC-119WR,0.375,0.812,0.156,,,28.56,Wood,FC Raw #119 Walnut,
119WF,0.375,0.812,0.156,10.97,16.02,22.43,Wood,Oil & Wax #119 Walnut,
FC-119WF,0.375,0.812,0.156,,,29.25,Wood,FC Oil & Wax #119 Walnut,
119WP,0.375,0.812,0.156,11.81,17.24,24.14,Wood,Padauk #119 Walnut,
FC-119WP,0.375,0.812,0.156,,,29.94,Wood,FC Padauk #119 Walnut,
119WB,0.375,0.812,0.156,11.81,17.24,24.14,Wood,Special Dark #119 Walnut,
FC-119WB,0.375,0.812,0.156,,,29.94,Wood,FC Special Dark #119 Walnut,
119WE,0.375,0.812,0.156,10.97,16.02,22.43,Wood,Ebony #119 Walnut,
FC-119WE,0.375,0.812,0.156,,,29.94,Wood,FC Ebony #119 Walnut,
119WK,0.375,0.812,0.156,10.18,14.86,20.8,Wood,Satin Black #119 Walnut,
FC-119WK,0.375,0.812,0.156,,,29.25,Wood,FC Satin Black #119 Walnut,
119W1,0.375,0.812,0.156,10.18,14.86,20.8,Wood,Light Grey #119 Walnut,
FC-119W1,0.375,0.812,0.156,,,29.25,Wood,FC Light Grey #119 Walnut,
119W2,0.375,0.812,0.156,10.18,14.86,20.8,Wood,Medium Grey #119 Walnut,
FC-119W2,0.375,0.812,0.156,,,29.25,Wood,FC Medium Grey #119 Walnut,
119W3,0.375,0.812,0.156,10.18,14.86,20.8,Wood,Dark Grey #119 Walnut,
FC-119W3,0.375,0.812,0.156,,,29.25,Wood,FC Dark Grey #119 Walnut,
119VR,0.375,0.812,0.156,5.08,8.38,13.41,Wood,Raw #119 White Oak,
FC-119VR,0.375,0.812,0.156,,,29.01,Wood,FC Raw #119 White Oak,
119VF,0.375,0.812,0.156,8.34,13.76,19.26,Wood,Oil & Wax #119 White Oak,
FC-119VF,0.375,0.812,0.156,,,29.69,Wood,FC Oil & Wax #119 White Oak,
119VL,0.375,0.812,0.156,8.61,14.21,19.89,Wood,Clear Lacquer #119 White Oak,
FC-119VL,0.375,0.812,0.156,,,29.69,Wood,FC Clear Lacquer #119 White Oak,
119VC,0.375,0.812,0.156,10.51,17.34,24.28,Wood,Charcoal #119 White Oak,
FC-119VC,0.375,0.812,0.156,,,30.38,Wood,FC Charcoal #119 White Oak,
119VM,0.375,0.812,0.156,10.51,17.34,24.28,Wood,Mission #119 White Oak,
FC-119VM,0.375,0.812,0.156,,,30.38,Wood,FC Mission #119 White Oak,
119V7,0.375,0.812,0.156,10.51,17.34,24.28,Wood,Bleached #119 White Oak,
FC-119V7,0.375,0.812,0.156,,,30.38,Wood,FC Bleached #119 White Oak,
194AR,0.75,3.75,0.25,6.39,9.33,14.93,Wood,Raw #194 Ash,
FC-194AR,0.75,3.75,0.25,,,29.96,Wood,FC Raw #194 Ash,
194AF,0.75,3.75,0.25,9.92,14.48,20.27,Wood,Oil & Wax #194 Ash,
FC-194AF,0.75,3.75,0.25,,,30.64,Wood,FC Oil & Wax #194 Ash,
194AL,0.75,3.75,0.25,10.98,16.03,22.44,Wood,Clear Lacquer #194 Ash,
FC-194AL,0.75,3.75,0.25,,,30.64,Wood,FC Clear Lacquer #194 Ash,
194AW,0.75,3.75,0.25,12.09,17.65,24.71,Wood,WhiteWash #194 Ash,
FC-194AW,0.75,3.75,0.25,,,31.33,Wood,FC WhiteWash #194 Ash,
194AT,0.75,3.75,0.25,12.09,17.65,24.71,Wood,White #194 Ash,
FC-194AT,0.75,3.75,0.25,,,32.71,Wood,FC White #194 Ash,
194AK,0.75,3.75,0.25,12.09,17.65,24.71,Wood,Satin Black #194 Ash,
FC-194AK,0.75,3.75,0.25,,,32.71,Wood,FC Satin Black #194 Ash,
194AA,0.75,3.75,0.25,12.09,17.65,24.71,Wood,Warm White #194 Ash,
FC-194AA,0.75,3.75,0.25,,,32.71,Wood,FC Warm White #194 Ash,
194AC,0.75,3.75,0.25,12.09,17.65,24.71,Wood,Charcoal #194 Ash,
FC-194AC,0.75,3.75,0.25,,,32.71,Wood,FC Charcoal #194 Ash,
194AI,0.75,3.75,0.25,12.09,17.65,24.71,Wood,Rising White #194 Ash,
FC-194AI,0.75,3.75,0.25,,,32.71,Wood,FC Rising White #194 Ash,
194A1,0.75,3.75,0.25,12.09,17.65,24.71,Wood,Light Grey #194 Ash,
FC-194A1,0.75,3.75,0.25,,,32.71,Wood,FC Light Grey #194 Ash,
194A2,0.75,3.75,0.25,12.09,17.65,24.71,Wood,Medium Grey #194 Ash,
FC-194A2,0.75,3.75,0.25,,,32.71,Wood,FC Medium Grey #194 Ash,
194A3,0.75,3.75,0.25,12.09,17.65,24.71,Wood,Dark Grey #194 Ash,
FC-194A3,0.75,3.75,0.25,,,32.71,Wood,FC Dark Grey #194 Ash,
194CR,0.75,3.75,0.25,9.07,13.6,21.76,Wood,Raw #194 Cherry,
FC-194CR,0.75,3.75,0.25,,,34.23,Wood,FC Raw #194 Cherry,
194CF,0.75,3.75,0.25,12.6,18.9,26.46,Wood,Oil & Wax #194 Cherry,
FC-194CF,0.75,3.75,0.25,,,34.91,Wood,FC Oil & Wax #194 Cherry,
194CL,0.75,3.75,0.25,14.5,21.75,30.45,Wood,Clear Lacquer #194 Cherry,
FC-194CL,0.75,3.75,0.25,,,36.29,Wood,FC Clear Lacquer #194 Cherry,
194CG,0.75,3.75,0.25,14.5,21.75,30.45,Wood,Aged #194 Cherry,
FC-194CG,0.75,3.75,0.25,,,36.29,Wood,FC Aged #194 Cherry,
194CQ,0.75,3.75,0.25,14.5,21.75,30.45,Wood,Antique #194 Cherry,
FC-194CQ,0.75,3.75,0.25,,,36.29,Wood,FC Antique #194 Cherry,
194CD,0.75,3.75,0.25,14.5,21.75,30.45,Wood,Black Cherry #194 Cherry,
FC-194CD,0.75,3.75,0.25,,,36.98,Wood,FC Black Cherry #194 Cherry,
194MR,0.75,3.75,0.25,8.59,12.2,19.52,Wood,Raw #194 Maple,
FC-194MR,0.75,3.75,0.25,,,32.83,Wood,FC Raw #194 Maple,
194MF,0.75,3.75,0.25,11.85,16.83,23.56,Wood,Oil & Wax #194 Maple,
FC-194MF,0.75,3.75,0.25,,,33.51,Wood,FC Oil & Wax #194 Maple,
194ML,0.75,3.75,0.25,12.12,17.21,24.09,Wood,Clear Lacquer #194 Maple,
FC-194ML,0.75,3.75,0.25,,,33.51,Wood,FC Clear Lacquer #194 Maple,
194MW,0.75,3.75,0.25,13.18,18.72,26.21,Wood,WhiteWash #194 Maple,
FC-194MW,0.75,3.75,0.25,,,34.2,Wood,FC WhiteWash #194 Maple,
194MT,0.75,3.75,0.25,12.39,17.59,24.63,Wood,White #194 Maple,
FC-194MT,0.75,3.75,0.25,,,34.89,Wood,FC White #194 Maple,
194MK,0.75,3.75,0.25,12.39,17.59,24.63,Wood,Satin Black #194 Maple,
FC-194MK,0.75,3.75,0.25,,,34.89,Wood,FC Satin Black #194 Maple,
194MA,0.75,3.75,0.25,12.39,17.59,24.63,Wood,Warm White #194 Maple,
FC-194MA,0.75,3.75,0.25,,,34.89,Wood,FC Warm White #194 Maple,
194MI,0.75,3.75,0.25,12.39,17.59,24.63,Wood,Rising White #194 Maple,
FC-194MI,0.75,3.75,0.25,,,34.89,Wood,FC Rising White #194 Maple,
194M1,0.75,3.75,0.25,12.39,17.59,24.63,Wood,Light Grey #194 Maple,
FC-194M1,0.75,3.75,0.25,,,34.89,Wood,FC Light Grey #194 Maple,
194M2,0.75,3.75,0.25,12.39,17.59,24.63,Wood,Medium Grey #194 Maple,
FC-194M2,0.75,3.75,0.25,,,34.89,Wood,FC Medium Grey #194 Maple,
194M3,0.75,3.75,0.25,12.39,17.59,24.63,Wood,Dark Grey #194 Maple,
FC-194M3,0.75,3.75,0.25,,,34.89,Wood,FC Dark Grey #194 Maple,
194M9,0.75,3.75,0.25,12.39,17.59,24.63,Wood,Wheat #194 Maple,
FC-194M9,0.75,3.75,0.25,,,34.89,Wood,FC Wheat #194 Maple,
194WR,0.75,3.75,0.25,20.1,30.15,48.24,Wood,Raw #194 Walnut,
FC-194WR,0.75,3.75,0.25,,,50.78,Wood,FC Raw #194 Walnut,
194WF,0.75,3.75,0.25,24.69,37.04,51.86,Wood,Oil & Wax #194 Walnut,
FC-194WF,0.75,3.75,0.25,,,51.46,Wood,FC Oil & Wax #194 Walnut,
194WP,0.75,3.75,0.25,25.53,38.3,53.62,Wood,Padauk #194 Walnut,
FC-194WP,0.75,3.75,0.25,,,52.15,Wood,FC Padauk #194 Walnut,
194WB,0.75,3.75,0.25,25.53,38.3,53.62,Wood,Special Dark #194 Walnut,
FC-194WB,0.75,3.75,0.25,,,52.15,Wood,FC Special Dark #194 Walnut,
194WE,0.75,3.75,0.25,24.69,37.04,51.86,Wood,Ebony #194 Walnut,
FC-194WE,0.75,3.75,0.25,,,52.15,Wood,FC Ebony #194 Walnut,
194WK,0.75,3.75,0.25,23.9,35.85,50.19,Wood,Satin Black #194 Walnut,
FC-194WK,0.75,3.75,0.25,,,51.46,Wood,FC Satin Black #194 Walnut,
194W1,0.75,3.75,0.25,23.9,35.85,50.19,Wood,Light Grey #194 Walnut,
FC-194W1,0.75,3.75,0.25,,,51.46,Wood,FC Light Grey #194 Walnut,
194W2,0.75,3.75,0.25,23.9,35.85,50.19,Wood,Medium Grey #194 Walnut,
FC-194W2,0.75,3.75,0.25,,,51.46,Wood,FC Medium Grey #194 Walnut,
194W3,0.75,3.75,0.25,23.9,35.85,50.19,Wood,Dark Grey #194 Walnut,
FC-194W3,0.75,3.75,0.25,,,51.46,Wood,FC Dark Grey #194 Walnut,
194VR,0.75,3.75,0.25,10.32,17.03,27.25,Wood,Raw #194 White Oak,
FC-194VR,0.75,3.75,0.25,,,39.03,Wood,FC Raw #194 White Oak,
194VF,0.75,3.75,0.25,13.58,22.41,31.37,Wood,Oil & Wax #194 White Oak,
FC-194VF,0.75,3.75,0.25,,,39.72,Wood,FC Oil & Wax #194 White Oak,
194VL,0.75,3.75,0.25,13.85,22.85,31.99,Wood,Clear Lacquer #194 White Oak,
FC-194VL,0.75,3.75,0.25,,,39.72,Wood,FC Clear Lacquer #194 White Oak,
194VC,0.75,3.75,0.25,15.75,25.99,36.39,Wood,Charcoal #194 White Oak,
FC-194VC,0.75,3.75,0.25,,,40.41,Wood,FC Charcoal #194 White Oak,
194VM,0.75,3.75,0.25,15.75,25.99,36.39,Wood,Mission #194 White Oak,
FC-194VM,0.75,3.75,0.25,,,40.41,Wood,FC Mission #194 White Oak,
194V7,0.75,3.75,0.25,15.75,25.99,36.39,Wood,Bleached #194 White Oak,
FC-194V7,0.75,3.75,0.25,,,40.41,Wood,FC Bleached #194 White Oak,
129AR,0.375,1.312,0.156,3.67,5.21,7.82,Wood,Raw #129 Ash,
FC-129AR,0.375,1.312,0.156,,,24.46,Wood,FC Raw #129 Ash,
129AF,0.375,1.312,0.156,6.93,9.84,13.28,Wood,Oil & Wax #129 Ash,
FC-129AF,0.375,1.312,0.156,,,25.15,Wood,FC Oil & Wax #129 Ash,
129AL,0.375,1.312,0.156,7.47,10.61,14.32,Wood,Clear Lacquer #129 Ash,
FC-129AL,0.375,1.312,0.156,,,25.15,Wood,FC Clear Lacquer #129 Ash,
129AW,0.375,1.312,0.156,9.37,13.31,17.97,Wood,WhiteWash #129 Ash,
FC-129AW,0.375,1.312,0.156,,,25.84,Wood,FC WhiteWash #129 Ash,
129AT,0.375,1.312,0.156,9.37,13.31,17.97,Wood,White #129 Ash,
FC-129AT,0.375,1.312,0.156,,,27.21,Wood,FC White #129 Ash,
129AK,0.375,1.312,0.156,9.37,13.31,17.97,Wood,Satin Black #129 Ash,
FC-129AK,0.375,1.312,0.156,,,27.21,Wood,FC Satin Black #129 Ash,
129AA,0.375,1.312,0.156,9.37,13.31,17.97,Wood,Warm White #129 Ash,
FC-129AA,0.375,1.312,0.156,,,27.21,Wood,FC Warm White #129 Ash,
129AC,0.375,1.312,0.156,9.37,13.31,17.97,Wood,Charcoal #129 Ash,
FC-129AC,0.375,1.312,0.156,,,27.21,Wood,FC Charcoal #129 Ash,
129AI,0.375,1.312,0.156,9.37,13.31,17.97,Wood,Rising White #129 Ash,
FC-129AI,0.375,1.312,0.156,,,27.21,Wood,FC Rising White #129 Ash,
129A1,0.375,1.312,0.156,9.37,13.31,17.97,Wood,Light Grey #129 Ash,
FC-129A1,0.375,1.312,0.156,,,27.21,Wood,FC Light Grey #129 Ash,
129A2,0.375,1.312,0.156,9.37,13.31,17.97,Wood,Medium Grey #129 Ash,
FC-129A2,0.375,1.312,0.156,,,27.21,Wood,FC Medium Grey #129 Ash,
129A3,0.375,1.312,0.156,9.37,13.31,17.97,Wood,Dark Grey #129 Ash,
FC-129A3,0.375,1.312,0.156,,,27.21,Wood,FC Dark Grey #129 Ash,
129CR,0.375,1.312,0.156,4.06,5.93,8.9,Wood,Raw #129 Cherry,
FC-129CR,0.375,1.312,0.156,,,25.18,Wood,FC Raw #129 Cherry,
129CF,0.375,1.312,0.156,7.59,11.08,14.96,Wood,Oil & Wax #129 Cherry,
FC-129CF,0.375,1.312,0.156,,,25.87,Wood,FC Oil & Wax #129 Cherry,
129CL,0.375,1.312,0.156,9.49,13.86,18.71,Wood,Clear Lacquer #129 Cherry,
FC-129CL,0.375,1.312,0.156,,,27.24,Wood,FC Clear Lacquer #129 Cherry,
129CG,0.375,1.312,0.156,9.49,13.86,18.71,Wood,Aged #129 Cherry,
FC-129CG,0.375,1.312,0.156,,,27.24,Wood,FC Aged #129 Cherry,
129CQ,0.375,1.312,0.156,9.49,13.86,18.71,Wood,Antique #129 Cherry,
FC-129CQ,0.375,1.312,0.156,,,27.24,Wood,FC Antique #129 Cherry,
129CD,0.375,1.312,0.156,9.49,13.86,18.71,Wood,Black Cherry #129 Cherry,
FC-129CD,0.375,1.312,0.156,,,27.93,Wood,FC Black Cherry #129 Cherry,
129MR,0.375,1.312,0.156,4.34,5.99,8.98,Wood,Raw #129 Maple,
FC-129MR,0.375,1.312,0.156,,,25.24,Wood,FC Raw #129 Maple,
129MF,0.375,1.312,0.156,7.6,10.49,14.16,Wood,Oil & Wax #129 Maple,
FC-129MF,0.375,1.312,0.156,,,25.93,Wood,FC Oil & Wax #129 Maple,
129ML,0.375,1.312,0.156,7.87,10.86,14.66,Wood,Clear Lacquer #129 Maple,
FC-129ML,0.375,1.312,0.156,,,25.93,Wood,FC Clear Lacquer #129 Maple,
129MW,0.375,1.312,0.156,8.93,12.32,16.63,Wood,WhiteWash #129 Maple,
FC-129MW,0.375,1.312,0.156,,,26.62,Wood,FC WhiteWash #129 Maple,
129MT,0.375,1.312,0.156,8.14,11.23,15.16,Wood,White #129 Maple,
FC-129MT,0.375,1.312,0.156,,,27.3,Wood,FC White #129 Maple,
129MK,0.375,1.312,0.156,8.14,11.23,15.16,Wood,Satin Black #129 Maple,
FC-129MK,0.375,1.312,0.156,,,27.3,Wood,FC Satin Black #129 Maple,
129MA,0.375,1.312,0.156,8.14,11.23,15.16,Wood,Warm White #129 Maple,
FC-129MA,0.375,1.312,0.156,,,27.3,Wood,FC Warm White #129 Maple,
129MI,0.375,1.312,0.156,8.14,11.23,15.16,Wood,Rising White #129 Maple,
FC-129MI,0.375,1.312,0.156,,,27.3,Wood,FC Rising White #129 Maple,
129M1,0.375,1.312,0.156,8.14,11.23,15.16,Wood,Light Grey #129 Maple,
FC-129M1,0.375,1.312,0.156,,,27.3,Wood,FC Light Grey #129 Maple,
