ITEM,description,fortybysixty,UPC,cost,group
A4920,ARTIQUE SILVER GHOST 32X40,32x40,720472329552,12.78,Matboard
A4921,ARTIQUE PEBBLE 32X40,32x40,720472329569,12.78,Matboard
A4924,ARTIQUE VERMILLION 32X40,32x40,720472329590,12.78,Matboard
A4926,ARTIQUE REGAL RED 32X40,32x40,720472329613,12.78,Matboard
A4927,ARTIQUE DIJON 32X40,32x40,720472329620,12.78,Matboard
A4928,ARTIQUE SUNSHINE 32X40,32x40,720472329637,12.78,Matboard
A4929,ARTIQUE WISTERIA 32X40,32x40,720472329644,12.78,Matboard
A4930,ARTIQUE OLIVE GREY 32X40,32x40,720472329651,12.78,Matboard
A4931,ARTIQUE LAVENDER 32X40,32x40,720472329668,12.78,Matboard
A4933,ARTIQUE AQUAMIST 32X40,32x40,720472329682,12.78,Matboard
A4934,ARTIQUE CHESTNUT 32X40,32x40,720472329699,12.78,Matboard
A4935,ARTIQUE MUSHROOM 32X40,32x40,720472329705,12.78,Matboard
A4937,ARTIQUE THATCH 32X40,32x40,720472329729,12.78,Matboard
A4938,ARTIQUE SEA 32X40,32x40,720472329736,12.78,Matboard
A4940,ARTIQUE MISTY JADE 32X40,32x40,720472329750,12.78,Matboard
A4941,ARTIQUE WEDGEWOOD 32X40,32x40,720472329767,12.78,Matboard
A4942,ARTIQUE SKY 32X40,32x40,720472329774,12.78,Matboard
A4943,ARTIQUE VICTORIA 32X40,32x40,720472329781,12.78,Matboard
A4944,ARTIQUE SEAWALL 32X40,32x40,720472329798,12.78,Matboard
A4945,ARTIQUE FERN 32X40,32x40,720472329804,12.78,Matboard
A4946,ARTIQUE PINEWOOD 32X40,32x40,720472329811,12.78,Matboard
A4947,ARTIQUE LILAC 32X40,32x40,720472329828,12.78,Matboard
A4950,ARTIQUE AMBER 32X40,32x40,720472329859,12.78,Matboard
A4952,ARTIQUE WALNUT 32X40,32x40,720472329873,12.78,Matboard
A4953,ARTIQUE DUSKY PINK 32X40,32x40,720472329880,12.78,Matboard
A4954,ARTIQUE POWDER 32X40,32x40,720472329897,12.78,Matboard
A4955,ARTIQUE AUBERGINE 32X40,32x40,720472329903,12.78,Matboard
A4957,ARTIQUE EMPIRE TURK 32X40,32x40,720472329927,12.78,Matboard
A4959,ARTIQUE SPRUCE 32X40,32x40,720472329941,12.78,Matboard
A4960,ARTIQUE PEWTER 32X40,32x40,720472329958,12.78,Matboard
A4961,ARTIQUE CRYSTAL 32X40,32x40,720472335584,12.78,Matboard
A4962,ARTIQUE BAY LEAF 32X40,32x40,720472335591,12.78,Matboard
A4963,ARTIQUE COCOA 32X40,32x40,720472335607,12.22,Matboard
A4964,ARTIQUE VEIL 32X40,32x40,720472335614,12.78,Matboard
A4965,ARTIQUE LEATHER 32X40,32x40,720472335621,12.78,Matboard
A4966,ARTIQUE MUSLIN 32X40,32x40,720472335638,12.78,Matboard
A4967,ARTIQUE MIDNIGHT BLUE 32X40,32x40,720472335645,12.78,Matboard
A4968,ARTIQUE ONYX 32X40,32x40,720472335652,12.78,Matboard
A4969,ARTIQUE NIGHT 32X40,32x40,720472335669,12.78,Matboard
A4970,ARTIQUE HEMLOCK 32X40,32x40,720472335737,12.78,Matboard
A4971,ARTIQUE CATTAIL 32X40,32x40,720472335744,12.78,Matboard
A4972,ARTIQUE RAINIER 32X40,32x40,720472335751,12.78,Matboard
A4973,ARTIQUE DRIZZLE 32X40,32x40,720472335768,12.78,Matboard
A4974,ARTIQUE MIST 32X40,32x40,720472335775,12.78,Matboard
A4975,ARTIQUE LICHEN 32X40,32x40,720472335782,12.78,Matboard
A4976,ARTIQUE COAST 32X40,32x40,720472335799,12.78,Matboard
A4977,ARTIQUE DIGITAL WHITE 32X40,32x40,720472335805,12.78,Matboard
A4979,ARTIQUE HENNA (RIPPLE) 32X40,32x40,720472335843,14.76,Matboard
A4980,ARTIQUE LENTIL (RIPPLE) 32X40,32x40,720472335850,14.76,Matboard
A4981,ARTIQUE CAMEL (RIPPLE) 32X40,32x40,720472335867,14.76,Matboard
A4982,ARTIQUE FOG (RIPPLE) 32X40,32x40,720472335874,14.76,Matboard
A4983,ARTIQUE CUMIN (RIPPLE) 32X40,32x40,720472335881,14.76,Matboard
A4984,ARTIQUE BERBER (RIPPLE) 32X40,32x40,720472335898,14.76,Matboard
A4985,ARTIQUE MINT TEA 32X40,32x40,720472335904,12.78,Matboard
A4986,ARTIQUE INDIGO 32X40,32x40,720472335911,12.78,Matboard
A4988,ARTIQUE KILIM RED 32X40,32x40,720472335935,12.78,Matboard
A4989,ARTIQUE DATE 32X40,32x40,720472335942,12.78,Matboard
A4990,ARTIQUE SAGE 32X40,32x40,720472335959,12.78,Matboard
A6100,ARTQ RAG WINTER WHITE 4060 4PL,32x40,720472337496,41.61,Matboard
A6200,ARTQ RAG WINTER WHITE 3240 4PL,32x40,720472337380,22.71,Matboard
