category,item,description, cost , dimensions 
BAINBRIDGE,8271B,DREAMWEAVER ALPHA,  24.00 , 32x40 
BAINBRIDGE,8272B,GOLDENROD ALPHA,  24.00 , 32x40 
BAINBRIDGE,8273B,BERYL ALPHA,  24.00 , 32x40 
BAINBRIDGE,8274B,DAWN ALPHA,  24.00 , 32x40 
BAINBRIDGE,8275B,DRIED SAGE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8276B,PALOMA ALPHA,  24.00 , 32x40 
BAINBRIDGE,8277B,PAGODA ALPHA,  24.00 , 32x40 
BAINBRIDGE,8278B,BIJOU ALPHA,  24.00 , 32x40 
BAINBRIDGE,8301B,IVORY BLK/BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8304B,FLINT/BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8305B,FEATHERSTONE/BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8306B,MATTE WHITE/BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8307B,FROST/BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8308B,SEA MIST/BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8313B,SNOWFLAKE BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8314B,TALC BLACK CORE,  29.80 , 32x40 
BAINBRIDGE,8315B,FAIRFIELD WHT BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8317B,STEEL GRAY BLACK CORE,  29.80 , 32x40 
BAINBRIDGE,8318B,MALACCA BLACK CORE,  29.80 , 32x40 
BAINBRIDGE,8319B,TEAL GRAY BLK CORE,  29.80 , 32x40 
BAINBRIDGE,8320B,TAUPE BLACK CORE,  29.80 , 32x40 
BAINBRIDGE,8321B,BRUSHED ONYX SABLE CORE,  29.80 , 32x40 
BAINBRIDGE,8401B,BISCOTTI,  24.00 , 32x40 
BAINBRIDGE,8409B,AMBER,  24.00 , 32x40 
BAINBRIDGE,8412B,GREEN OLIVE,  24.00 , 32x40 
BAINBRIDGE,8417B,VENETIAN BLUE,  24.00 , 32x40 
BAINBRIDGE,8420B,SOFTLY PINK,  24.00 , 32x40 
BAINBRIDGE,8425B,SEA GREEN,  24.00 , 32x40 
BAINBRIDGE,8426B,PARAKEET,  24.00 , 32x40 
BAINBRIDGE,8428B,PAPAYA,  24.00 , 32x40 
BAINBRIDGE,8431VB,ANTIQUE VELLUM ALPHMAT,  24.00 , 32x40 
BAINBRIDGE,8432VB,ANGORA VELLUM ALPHMAT,  24.00 , 32x40 
BAINBRIDGE,8433VB,JET VELLUM ALPHAMAT,  24.00 , 32x40 
BAINBRIDGE,8435VB,CHROME VELLUM ALPHAMAT,  24.00 , 32x40 
BAINBRIDGE,8437VB,CLOVER VELLUM ALPHAMAT,  24.00 , 32x40 
BAINBRIDGE,8438VB,CHALK VELLUM ALPHAMAT,  24.00 , 32x40 
BAINBRIDGE,8440B,AUBERGINE,  24.00 , 32x40 
BAINBRIDGE,8442B,KONA,  24.00 , 32x40 
BAINBRIDGE,8443B,TEAK,  24.00 , 32x40 
BAINBRIDGE,8444B,PECAN,  24.00 , 32x40 
BAINBRIDGE,8445B,FIDDLEHEAD,  24.00 , 32x40 
BAINBRIDGE,8446B,RAFFIA,  24.00 , 32x40 
BAINBRIDGE,8447B,BLACK SPRUCE,  24.00 , 32x40 
