category,item,description, chop , cost , JOIN , group , size decimal 
BELLA,740055,BUNGALOW 3/4 OAK/GREY,  11.27 ,  6.76 ,  16.09 ,Wood,  0.75 
BELLA,740056,BUNGALOW 3/4 OAK/PINK,  11.27 ,  6.76 ,  16.09 ,Wood,  0.75 
BELLA,740057,BUNGALOW 3/4 OAK/WHITE,  11.27 ,  6.76 ,  16.09 ,Wood,  0.75 
BELLA,740058,BUNGALOW 3/4 OAK/MUSTARD,  11.27 ,  6.76 ,  16.09 ,Wood,  0.75 
BELLA,740059,BUNGALOW 3/4 WALNUT/BEIGE,  11.27 ,  6.76 ,  16.09 ,Wood,  0.75 
BELLA,740060,BUNGALOW 3/4 WALNUT/BLACK,  11.27 ,  6.76 ,  16.09 ,Wood,  0.75 
BELLA,740061,BUNGALOW 3/4 WALNUT/BLUE,  11.27 ,  6.76 ,  16.09 ,Wood,  0.75 
BELLA,740062,BUNGALOW 3/4 WALNUT/ORANGE,  11.27 ,  6.76 ,  16.09 ,Wood,  0.75 
BELLA,740063,KUSAMA 3/4 BLACK INFINITE GREY,  11.70 ,  7.02 ,  16.71 ,Wood,  0.75 
BELLA,740064,KUSAMA 3/4 BLACK CRIMSON DOTS,  11.70 ,  7.02 ,  16.71 ,Wood,  0.75 
BELLA,740065,KUSAMA 3/4 GREY PRISMATIC PEWT,  11.70 ,  7.02 ,  16.71 ,Wood,  0.75 
BELLA,740066,KUSAMA 3/4 TAN COSMIC BRONZE,  11.70 ,  7.02 ,  16.71 ,Wood,  0.75 
BELLA,740067,KUSAMA 3/4 YELLOW ASTRIAL GOLD,  11.70 ,  7.02 ,  16.71 ,Wood,  0.75 
BELLA,740068,KUSAMA 3/4 WHITE CELESTIAL ORB,  11.70 ,  7.02 ,  16.71 ,Wood,  0.75 
BELLA,770001,VARIS 13/16 BLK SIDE SILVER CA,  14.59 ,  8.75 ,  20.84 ,Wood,  0.81 
BELLA,770002,VARIS 13/16 WHT SIDE SILVER CA,  14.59 ,  8.75 ,  20.84 ,Wood,  0.81 
BELLA,770003,VARIS 13/16 BRN SIDE SILVER CA,  14.59 ,  8.75 ,  20.84 ,Wood,  0.81 
BELLA,770004,VARIS 13/16 GRY SIDE SILVER CA,  14.59 ,  8.75 ,  20.84 ,Wood,  0.81 
BELLA,770005,VARIS 11/16 WNTERGRN SILVER CA,  12.17 ,  7.30 ,  17.39 ,Wood,  0.69 
BELLA,770006,VARIS 11/16 BLIE/SILVER CAP,  12.17 ,  7.30 ,  17.39 ,Wood,  0.69 
BELLA,770007,VARIS 11/16 GOLDENRD SILVER CA,  12.17 ,  7.30 ,  17.39 ,Wood,  0.69 
BELLA,770008,VARIS 11/16 GREY/SILVER CAP,  12.17 ,  7.30 ,  17.39 ,Wood,  0.69 
BELLA,770031,VARIS 3/4 BLACK ICE METALLIC,  8.85 ,  5.31 ,  12.64 ,Wood,  0.75 
BELLA,770032,VARIS 3/4 ARCTIC WHITE METALLI,  8.85 ,  5.31 ,  12.64 ,Wood,  0.75 
BELLA,770033,VARIS 3/4 WINTERGREEN METALLIC,  8.85 ,  5.31 ,  12.64 ,Wood,  0.75 
BELLA,770034,VARIS 3/4 REINDEER METALLIC,  8.85 ,  5.31 ,  12.64 ,Wood,  0.75 
BELLA,770035,VARIS 3/4 BALTIC BLUE METALLIC,  8.85 ,  5.31 ,  12.64 ,Wood,  0.75 
BELLA,770036,VARIS 3/4 FROSTED PLUM METALLI,  8.85 ,  5.31 ,  12.64 ,Wood,  0.75 
BELLA,770037,VARIS 3/4 BLACK ICE METALLIC,  15.03 ,  9.02 ,  21.47 ,Wood,  0.75 
BELLA,770038,VARIS 3/4 ARCTIC WHITE METALLI,  15.03 ,  9.02 ,  21.47 ,Wood,  0.75 
BELLA,770039,VARIS 3/4 WINTERGREEN METALLIC,  15.03 ,  9.02 ,  21.47 ,Wood,  0.75 
BELLA,770040,VARIS 3/4 REINDEER METALLIC,  15.03 ,  9.02 ,  21.47 ,Wood,  0.75 
BELLA,770041,VARIS 3/4 BALTIC BLUE METALLIC,  15.03 ,  9.02 ,  21.47 ,Wood,  0.75 
BELLA,770042,VARIS 3/4 FROSTED PLUM METALLI,  15.03 ,  9.02 ,  21.47 ,Wood,  0.75 
BELLA,780071,CHAUCER 1 1/2 BRASS KNIGHT,  19.47 ,  11.68 ,  27.81 ,Wood,  1.50 
BELLA,780072,CHAUCER 1 1/2 CREAM KNIGHT,  19.47 ,  11.68 ,  27.82 ,Wood,  1.50 
BELLA,780073,CHAUCER 1 1/2 STEEL KNIGHT,  19.47 ,  11.68 ,  27.81 ,Wood,  1.50 
BELLA,780074,CHAUCER 9/16 BLACK FLOWERS,  8.76 ,  5.26 ,  12.51 ,Wood,  0.56 
BELLA,780075,CHAUCER 9/16 WHITE FLOWERS,  8.76 ,  5.26 ,  12.51 ,Wood,  0.56 
BELLA,780076,CHAUCER 9/16 VICTORY RED FLOWE,  8.76 ,  5.26 ,  12.51 ,Wood,  0.56 
BELLA,780077,CHAUCER 9/16 BLUE FLOWERS,  8.76 ,  5.26 ,  12.51 ,Wood,  0.56 
BELLA,780078,CHAUCER 9/16 ORANGE FLOWERS,  8.76 ,  5.26 ,  12.51 ,Wood,  0.56 
BELLA,780079,CHAUCER 9/16 GREEN FLOWERS,  8.76 ,  5.26 ,  12.51 ,Wood,  0.56 
FI,STR1,STRETCHER 1 3/16X7/16 200/BNDL,  2.11 ,  1.25 ,  3.01 ,Extender,  1.19 
FI,STR10,STRAINER 1 7/16 X 1/2 200/BNDL,  3.30 ,  1.65 ,  4.71 ,Extender,  1.44 
FI,STR11,STRAINER 1 1/2 x 1/4 200/BNDL,  1.82 ,  0.91 ,  2.60 ,Extender,  1.50 
FI,STR12,STRAINER 2 1/2 x 3/4 100/BNDL,  5.10 ,  2.55 ,  7.30 ,Extender,  2.50 
FI,STR2,STRETCHER 1 9/16X5/8 200/BNDL,  3.30 ,  1.90 ,  4.71 ,Extender,  1.56 
FI,STR3,STRETCHER 2 1/4 X1 60/BNDL,  6.50 ,  3.70 ,  9.29 ,Extender,  2.25 
FI,STR4,STRETCHER 2 1/4 X1 3/8 60/BNDL,  7.80 ,  4.35 ,  11.14 ,Extender,  2.25 
FI,STR6,STRETCHER 1 1/8X1 15/16 100/BN,  6.00 ,  3.35 ,  8.57 ,Extender,  1.13 
FI,STR7,STRETCHER 1 1/8x1 1/2 100/BNDL,  4.80 ,  2.70 ,  6.86 ,Extender,  1.13 
FI,STR9,STRAINER 1 7/16 X 3/4 200/BNDL,  3.70 ,  1.65 ,  5.29 ,Extender,  1.44 
FI ,E110102,BERGAMO 1 BLACK SCALLOP,  5.00 ,  2.40 ,  7.69 ,Wood,  1.00 
FI ,E110103,BERGAMO 1 GOLD SCALLOP,  5.00 ,  2.40 ,  7.69 ,Wood,  1.00 
FI ,E110104,BERGAMO 1 SILVER SCALLOP,  5.00 ,  2.40 ,  7.69 ,Wood,  1.00 
FI ,E110112,BERGAMO 7/8 BLACK LOTUS LEAF,  5.31 ,  2.55 ,  8.17 ,Wood,  0.88 
FI ,E110113,BERGAMO 7/8 GOLD LOTUS LEAF,  5.31 ,  2.55 ,  8.17 ,Wood,  0.88 
FI ,E110114,BERGAMO 7/8 SILVER LOTUS LEAF,  5.31 ,  2.55 ,  8.17 ,Wood,  0.88 
FI ,E110122,BERGAMO 1 1/8 ANTIQUE BLACK,  5.00 ,  2.75 ,  9.09 ,Wood,  1.13 
FI ,E110132,BERGAMO 7/8 BLACK PALM LEAF,  6.98 ,  3.35 ,  10.74 ,Wood,  0.88 
